no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
23             ci14433456     33.3171667     -115.7281667   6.003          4.77           41             4              8              2              
24             ci14512436     32.3706667     -115.2611667   9.987          5.08           85             3              10             2              
25             ci14565620     32.464         -115.1891667   5.971          5.8            81             5              5              1              
26             ci14565636     32.5323333     -115.2081667   5.986          4.77           74             10             10             1              
46             ci10597061     32.6753333     -115.7581667   9.715          4.5            33             5              7              1              
48             ci10629477     32.6595        -115.8075      5.315          4.63           33             8              8              1              
49             ci14682004     32.6921667     -115.8465      3.278          4.58           29             4              9              2              
51             ci10657533     32.6815        -115.7971667   5.955          4.8            31             4              7              2              
53             ci10671989     32.6601667     -115.8253333   8.913          4.53           34             4              5              1              
54             ci14718756     32.6168333     -115.7563333   8.073          4.9            39             4              8              2              
55             ci14718764     32.6243333     -115.7683333   7.493          4.6            38             5              9              2              
61             ci11129826     32.2071667     -115.3431667   2.821          4.64           94             3              5              1              
62             ci11129914     32.2131667     -115.2886667   9.641          4.68           96             3              5              1              
63             ci15199593     33.0158333     -115.5363333   4.79           4.59           28             4              10             2              
64             ci15199681     33.0171667     -115.5536667   8.323          5.32           27             2              9              2              
65             ci15199689     33.0135        -115.5591667   4.387          4.89           26             2              8              2              
66             ci15200401     33.0185        -115.5403333   8.283          5.41           28             2              8              1              
67             ci15201537     33.028         -115.5305      7.47           4.63           30             5              5              1              
68             ci15202921     33.0211667     -115.5195      4.17           4.93           29             2              8              1              
69             ci15296281     33.5008333     -116.4581667   10.943         4.7            86             5              6              1              
70             ci37374687     33.4315        -116.4426667   12.31          5.19           79             4              7              2              
71             ci38138175     32.2065        -115.2535      10.95          4.82           100            2              5              1              
72             ci39126079     33.4895        -116.5063333   10.45          4.87           88             5              7              1              
73             ci38488354     33.0183333     -116.0201667   10.16          4.54           22             9              10             2              
74             ci39338407     33.2468333     -115.69        2.07           4.59           35             4              5              1              
75             ci39641528     33.0546667     -115.5906667   14.19          4.93           28             2              8              2              
76             ci39596135     32.3903333     -115.2498333   19.22          4.75           85             5              7              1              
77             ci39919392     33.14          -115.6348333   5.78           5.25           28             5              7              1              
78             ci39720706     32.7518333     -115.8728333   8.69           4.8            25             4              9              2              
