no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
61                            ci11129826                    2012-07-01T03:25:20.450000Z   32.2071667                    -115.3431667                  2.821                         4.64                          95.0                          
62                            ci11129914                    2012-07-01T06:36:06.350000Z   32.2131667                    -115.2886667                  9.641                         4.68                          97.0                          
63                            ci15199593                    2012-08-26T19:20:04.810000Z   33.0158333                    -115.5363333                  4.79                          4.59                          27.0                          
64                            ci15199681                    2012-08-26T19:31:23.040000Z   33.0171667                    -115.5536667                  8.323                         5.32                          25.0                          
65                            ci15199689                    2012-08-26T19:33:01.090000Z   33.0135                       -115.5591667                  4.387                         4.89                          25.0                          
66                            ci15200401                    2012-08-26T20:57:58.220000Z   33.0185                       -115.5403333                  8.283                         5.41                          26.0                          
67                            ci15201537                    2012-08-26T23:33:25.130000Z   33.028                        -115.5305                     7.47                          4.63                          28.0                          
68                            ci15202921                    2012-08-27T04:41:37.000000Z   33.0211667                    -115.5195                     4.17                          4.93                          28.0                          
69                            ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           85.0                          
70                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          78.0                          
71                            ci38138175                    2018-11-19T20:18:42.510000Z   32.2065                       -115.2535                     10.95                         4.82                          99.0                          
73                            ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          20.0                          
74                            ci39338407                    2020-08-10T15:56:14.330000Z   33.2468333                    -115.69                       2.07                          4.59                          34.0                          
75                            ci39641528                    2020-10-01T00:31:27.280000Z   33.0546667                    -115.5906667                  14.19                         4.93                          23.0                          
76                            ci39596135                    2021-03-31T08:56:25.940000Z   32.3903333                    -115.2498333                  19.22                         4.75                          83.0                          
77                            ci39919392                    2021-06-05T17:55:58.820000Z   33.14                         -115.6348333                  5.78                          5.25                          26.0                          
