no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci9818433      33.9123333     -117.7833333   9.371          4.78           104            5              6              2              
3              ci13935988     34.312         -116.8448333   5.589          4.99           83             9              9              2              
4              ci13936812     34.3096667     -116.8503333   1.409          4.5            83             8              8              2              
5              ci13938812     34.3155        -116.8445      1.099          4.61           84             8              8              3              
6              ci13945908     34.3591667     -116.1331667   3.069          4.64           104            3              5              1              
7              ci14151344     33.5325        -116.5666667   13.051         5.2            21             5              9              3              
8              ci14155260     34.058         -117.0113333   10.558         4.88           61             8              8              2              
9              ci14179736     33.1533333     -115.6463333   1.207          5.08           111            2              7              2              
10             ci10215753     32.676         -116.0481667   13.436         4.62           119            5              10             2              
11             ci10275733     33.7321667     -117.477       12.192         4.73           72             6              9              2              
12             ci14383980     33.9485        -117.7663333   15.503         5.44           105            2              4              1              
13             ci14433456     33.3171667     -115.7281667   6.003          4.77           98             7              8              2              
14             ci14612516     32.6638333     -115.8088333   13.653         4.93           133            6              9              1              
15             ci14618772     32.6651667     -115.8106667   1.733          4.51           132            4              9              2              
16             ci10597061     32.6753333     -115.7581667   9.715          4.5            134            6              7              2              
17             ci14682004     32.6921667     -115.8465      3.278          4.58           128            8              8              1              
18             ci10657533     32.6815        -115.7971667   5.955          4.8            132            3              4              1              
19             ci10657549     32.6755        -115.8101667   2.383          4.69           131            1              3              1              
20             ci14745580     32.705         -115.9113333   8.756          5.71           123            5              6              1              
21             ci10736069     33.4173333     -116.4746667   12.318         5.42           32             2              4              1              
22             ci10832573     32.8645        -115.9973333   13.146         4.57           105            7              8              2              
23             ci15296281     33.5008333     -116.4581667   10.943         4.7            29             8              9              1              
24             ci15520985     34.2823333     -117.0266667   7.25           4.58           84             7              7              1              
25             ci37374687     33.4315        -116.4426667   12.31          5.19           33             3              5              1              
27             ci38488354     33.0183333     -116.0201667   10.16          4.54           91             5              8              2              
28             ci39338407     33.2468333     -115.69        2.07           4.59           104            7              7              1              
29             ci39720706     32.7518333     -115.8728333   8.69           4.8            121            3              5              1              
