no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
9              nn00482627     37.1418        -117.2618      17.0           4.8            108            5              5              1              
10             nc72592670     37.2023333     -118.4035      15.06          4.77           90             9              13             3              
11             ci38443183     35.7053333     -117.5038333   10.5           6.4            98             5              8              2              
12             ci38443607     35.6013333     -117.597       2.81           4.59           103            12             12             3              
13             ci38443719     35.716         -117.56        1.92           4.58           93             5              5              1              
14             ci38443871     35.6715        -117.4788333   5.16           4.5            101            4              8              2              
15             ci38450263     35.7603333     -117.575       6.95           5.37           88             4              5              1              
16             ci38457487     35.7253333     -117.5535      0.88           4.97           92             4              9              2              
17             ci38457511     35.7695        -117.5993333   8.0            7.1            86             4              8              2              
18             ci37222196     35.9496667     -117.7376667   9.28           4.81           63             4              5              2              
19             ci38457519     35.9216667     -117.729       8.17           4.64           67             4              5              1              
20             ci37219484     35.748         -117.5456667   3.9            4.55           91             4              10             2              
21             ci37219500     35.6166667     -117.4301667   9.35           4.73           108            4              5              1              
22             ci37219156     35.891         -117.7365      9.1            4.64           69             4              5              1              
23             ci37219468     35.861         -117.6778333   6.82           4.52           74             4              5              1              
24             ci37219164     35.8031667     -117.6178333   11.44          4.84           83             4              5              1              
25             ci37219172     35.8606667     -117.6708333   10.32          4.61           75             4              5              1              
26             ci37219180     35.9138333     -117.7258333   8.0            4.5            66             4              12             3              
27             ci37219564     35.5303333     -117.4313333   3.83           4.57           117            4              12             4              
28             ci38457583     35.9028333     -117.7115      3.18           4.51           68             4              9              2              
29             ci38457687     35.9011667     -117.7495      5.04           5.5            67             5              12             3              
30             ci38457703     35.9035        -117.7001667   8.26           4.97           69             4              9              2              
31             ci38457775     35.5551667     -117.5215      5.5            4.68           110            8              9              1              
32             ci38457815     35.5846667     -117.6145      9.73           4.8            104            7              8              2              
33             ci38457847     35.9101667     -117.6848333   7.41           5.44           69             4              10             2              
34             ci38457967     35.9           -117.7376667   1.9            4.85           67             4              9              3              
35             ci38458679     35.911         -117.7385      4.99           4.63           66             4              10             2              
36             ci38460311     35.639         -117.4913333   3.14           4.56           103            4              5              1              
37             ci38460967     35.898         -117.7271667   3.95           4.89           68             4              9              2              
38             ci38463551     35.9283333     -117.705       2.37           4.5            66             9              9              2              
39             ci38469375     35.8235        -117.663       6.51           4.5            78             5              9              2              
40             ci38472279     35.7683333     -117.5781667   10.45          4.53           88             4              4              1              
41             ci38525207     36.1766667     -117.884       0.93           4.52           34             6              6              0              
42             ci38548295     35.6368333     -117.5861667   9.48           4.9            100            4              10             2              
43             ci38593535     36.113         -117.8875      1.56           4.64           40             12             12             4              
44             ci38644943     35.9258333     -117.7066667   3.79           4.74           66             9              13             2              
45             ci38996632     35.9076667     -117.709       4.93           4.89           68             4              10             3              
46             ci39462536     35.6148333     -117.4281667   8.44           5.51           109            4              5              1              
47             ci39490952     36.4466667     -117.984       2.26           4.65           9              12             12             0              
48             ci39493944     36.4468333     -117.9751667   4.66           5.8            10             4              4              1              
49             ci39494008     36.456         -117.9311667   9.62           4.59           17             5              5              0              
50             ci39584648     36.4786667     -117.5141667   -0.57          4.72           51             4              9              2              
51             nc73674211     37.3338333     -117.9023333   9.5            4.75           101            4              9              2              
