no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
7              nc72592670     37.2023333     -118.4035      15.06          4.77           45             9              9              2              
8              nc73367270     38.0525        -118.7333333   8.45           5.24           101            2              3              1              
9              nc73367575     38.0421667     -118.758       8.94           4.57           102            4              6              1              
10             nn00725272     38.1689        -117.8497      2.7            6.5            90             2              7              2              
11             nn00725284     38.1596        -117.9598      3.8            4.9            88             2              3              1              
12             nn00725291     38.1811        -117.8711      6.8            5.1            91             1              1              0              
13             nn00725306     38.1469        -117.9831      5.8            4.8            86             7              7              0              
14             nn00725312     38.1667        -117.8104      6.3            4.5            90             6              6              1              
15             nn00725454     38.1667        -117.8006      7.6            4.8            90             2              3              0              
16             nn00725546     38.173         -117.8295      5.8            4.7            90             2              6              1              
17             nn00726009     38.1313        -117.9756      5.0            4.6            85             6              7              1              
18             nn00726353     38.2118        -117.7347      16.8           4.6            97             8              8              1              
19             nn00727244     38.15          -117.9553      9.6            4.5            88             6              7              2              
20             nn00727561     38.1749        -117.8028      10.4           4.7            92             6              6              2              
21             nn00728819     38.1755        -117.8535      8.1            4.6            90             2              2              1              
22             nn00729332     38.2012        -117.7453      11.7           5.0            96             1              6              2              
23             nn00730721     38.2309        -117.7939      7.2            5.1            97             2              3              1              
24             nn00744961     38.2059        -117.7912      5.2            4.8            94             2              6              2              
25             nn00750312     38.1698        -117.8345      6.5            4.9            90             3              6              1              
26             ci39494008     36.456         -117.9311667   9.62           4.59           101            5              6              1              
27             nn00755218     38.1539        -117.9583      8.3            5.0            87             6              6              2              
28             nn00757297     38.1856        -117.8907      5.6            4.5            91             6              6              2              
29             ci39584648     36.4786667     -117.5141667   -0.57          4.72           107            2              2              1              
