no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
7                             nc72592670                    2016-02-16T23:04:26.910000Z   37.2023333                    -118.4035                     15.06                         4.77                          42.0                          
8                             nc73367270                    2020-04-11T14:36:37.040000Z   38.0525                       -118.7333333                  8.45                          5.24                          101.0                         
9                             nc73367575                    2020-04-11T16:22:50.940000Z   38.0421667                    -118.758                      8.94                          4.57                          102.0                         
10                            nn00725272                    2020-05-15T11:03:27.176000Z   38.1689                       -117.8497                     2.7                           6.5                           90.0                          
11                            nn00725284                    2020-05-15T11:18:12.392000Z   38.1596                       -117.9598                     3.8                           4.9                           88.0                          
12                            nn00725291                    2020-05-15T11:26:01.747000Z   38.1811                       -117.8711                     6.8                           5.1                           91.0                          
13                            nn00725306                    2020-05-15T11:52:07.184000Z   38.1469                       -117.9831                     5.8                           4.8                           86.0                          
14                            nn00725312                    2020-05-15T12:00:41.572000Z   38.1667                       -117.8104                     6.3                           4.5                           90.0                          
15                            nn00725454                    2020-05-15T15:23:24.676000Z   38.1667                       -117.8006                     7.6                           4.8                           90.0                          
16                            nn00725546                    2020-05-15T17:50:16.941000Z   38.173                        -117.8295                     5.8                           4.7                           90.0                          
17                            nn00726009                    2020-05-16T04:12:21.434000Z   38.1313                       -117.9756                     5                             4.6                           85.0                          
18                            nn00726353                    2020-05-16T11:50:54.310000Z   38.2118                       -117.7347                     16.8                          4.6                           96.0                          
19                            nn00727244                    2020-05-17T11:53:53.336000Z   38.15                         -117.9553                     9.6                           4.5                           87.0                          
20                            nn00727561                    2020-05-17T21:17:02.474000Z   38.1749                       -117.8028                     10.4                          4.7                           91.0                          
21                            nn00728819                    2020-05-19T22:12:45.639000Z   38.1755                       -117.8535                     8.1                           4.6                           90.0                          
22                            nn00729332                    2020-05-20T12:36:53.447000Z   38.2012                       -117.7453                     11.7                          5                             95.0                          
23                            nn00730721                    2020-05-22T00:22:00.588000Z   38.2309                       -117.7939                     7.2                           5.1                           97.0                          
24                            nn00744961                    2020-06-08T03:24:05.884000Z   38.2059                       -117.7912                     5.2                           4.8                           94.0                          
25                            nn00750312                    2020-06-19T20:42:21.454000Z   38.1698                       -117.8345                     6.5                           4.9                           90.0                          
26                            ci39494008                    2020-06-24T17:59:19.960000Z   36.456                        -117.9311667                  9.62                          4.59                          101.0                         
27                            nn00755218                    2020-06-30T09:24:23.549000Z   38.1539                       -117.9583                     8.3                           5                             87.0                          
28                            nn00757297                    2020-07-06T06:12:54.847000Z   38.1856                       -117.8907                     5.6                           4.5                           91.0                          
29                            ci39584648                    2020-08-19T17:32:11.070000Z   36.4786667                    -117.5141667                  -0.57                         4.72                          107.0                         
