no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
8              ci38443183     35.7053333     -117.5038333   10.5           6.4            103            9              10             2              
9              ci38443607     35.6013333     -117.597       2.81           4.59           88             10             11             3              
10             ci38443719     35.716         -117.56        1.92           4.58           101            10             12             2              
11             ci38443871     35.6715        -117.4788333   5.16           4.5            99             9              10             1              
12             ci38450263     35.7603333     -117.575       6.95           5.37           105            7              11             2              
13             ci38457487     35.7253333     -117.5535      0.88           4.97           102            2              10             3              
14             ci38457511     35.7695        -117.5993333   8.0            7.1            105            10             11             1              
15             ci37219484     35.748         -117.5456667   3.9            4.55           104            10             10             2              
16             ci37219500     35.6166667     -117.4301667   9.35           4.73           96             10             10             2              
17             ci37219564     35.5303333     -117.4313333   3.83           4.57           88             11             11             1              
18             ci38457775     35.5551667     -117.5215      5.5            4.68           86             10             10             2              
19             ci38457815     35.5846667     -117.6145      9.73           4.8            86             10             10             1              
20             ci38460311     35.639         -117.4913333   3.14           4.56           96             7              9              1              
21             ci38472279     35.7683333     -117.5781667   10.45          4.53           106            10             10             1              
22             ci38548295     35.6368333     -117.5861667   9.48           4.9            92             11             11             3              
23             ci39281440     35.0975        -116.9696667   3.07           4.62           97             11             13             3              
24             ci39462536     35.6148333     -117.4281667   8.44           5.51           96             8              11             2              
25             ci38695658     34.038         -118.08        16.87          4.54           96             6              13             2              
26             ci40063391     35.7091667     -117.5843333   6.3            4.58           99             10             10             2              
