no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
8              nn00482627     37.1418        -117.2618      17.0           4.8            85             7              12             3              
9              nn00642964     35.8945        -115.7758      8.6            4.5            117            18             18             6              
10             ci38443183     35.7053333     -117.5038333   10.5           6.4            103            2              2              0              
11             ci38443607     35.6013333     -117.597       2.81           4.59           117            18             18             7              
12             ci38443719     35.716         -117.56        1.92           4.58           104            1              2              0              
13             ci38443871     35.6715        -117.4788333   5.16           4.5            104            7              7              1              
14             ci38450263     35.7603333     -117.575       6.95           5.37           101            2              4              1              
15             ci38457487     35.7253333     -117.5535      0.88           4.97           103            2              2              0              
16             ci38457511     35.7695        -117.5993333   8.0            7.1            102            6              6              2              
17             ci37222196     35.9496667     -117.7376667   9.28           4.81           97             6              6              2              
18             ci38457519     35.9216667     -117.729       8.17           4.64           99             2              7              2              
19             ci37219484     35.748         -117.5456667   3.9            4.55           101            2              7              2              
20             ci37219500     35.6166667     -117.4301667   9.35           4.73           107            2              7              2              
23             ci37219164     35.8031667     -117.6178333   11.44          4.84           101            6              6              1              
24             ci37219172     35.8606667     -117.6708333   10.32          4.61           100            6              6              2              
25             ci37219180     35.9138333     -117.7258333   8.0            4.5            99             7              9              1              
26             ci38457583     35.9028333     -117.7115      3.18           4.51           99             7              18             4              
27             ci38457687     35.9011667     -117.7495      5.04           5.5            101            4              10             2              
28             ci38457703     35.9035        -117.7001667   8.26           4.97           98             6              7              2              
29             ci38457815     35.5846667     -117.6145      9.73           4.8            119            1              7              2              
30             ci38457847     35.9101667     -117.6848333   7.41           5.44           96             2              7              2              
31             ci38457967     35.9           -117.7376667   1.9            4.85           101            2              18             5              
32             ci38458679     35.911         -117.7385      4.99           4.63           100            2              6              2              
33             ci38460311     35.639         -117.4913333   3.14           4.56           108            1              18             5              
34             ci38460967     35.898         -117.7271667   3.95           4.89           100            6              6              2              
35             ci38463551     35.9283333     -117.705       2.37           4.5            96             18             18             6              
36             ci38469375     35.8235        -117.663       6.51           4.5            101            3              6              1              
37             ci38472279     35.7683333     -117.5781667   10.45          4.53           102            7              7              1              
38             ci38525207     36.1766667     -117.884       0.93           4.52           97             2              18             5              
39             ci38548295     35.6368333     -117.5861667   9.48           4.9            113            3              8              2              
40             ci38593535     36.113         -117.8875      1.56           4.64           100            2              18             5              
41             ci38644943     35.9258333     -117.7066667   3.79           4.74           97             1              18             6              
42             ci38996632     35.9076667     -117.709       4.93           4.89           98             7              7              2              
43             ci39462536     35.6148333     -117.4281667   8.44           5.51           107            6              6              2              
44             ci39494008     36.456         -117.9311667   9.62           4.59           96             6              6              1              
45             ci39584648     36.4786667     -117.5141667   -0.57          4.72           58             5              5              2              
46             nc73674211     37.3338333     -117.9023333   9.5            4.75           133            2              18             7              
47             ci40063391     35.7091667     -117.5843333   6.3            4.58           106            4              6              1              
