no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
6              nn00642964     35.8945        -115.7758      8.6            4.5            114            2              4              1              
7              ci38443183     35.7053333     -117.5038333   10.5           6.4            79             2              3              1              
8              ci38443607     35.6013333     -117.597       2.81           4.59           79             2              6              2              
9              ci38443719     35.716         -117.56        1.92           4.58           82             3              3              1              
10             ci38443871     35.6715        -117.4788333   5.16           4.5            74             6              6              2              
11             ci38450263     35.7603333     -117.575       6.95           5.37           86             3              6              2              
12             ci38457487     35.7253333     -117.5535      0.88           4.97           82             1              3              1              
13             ci38457511     35.7695        -117.5993333   8.0            7.1            89             3              3              1              
15             ci38457519     35.9216667     -117.729       8.17           4.64           108            2              3              1              
16             ci37219484     35.748         -117.5456667   3.9            4.55           83             2              3              1              
17             ci37219500     35.6166667     -117.4301667   9.35           4.73           68             2              3              1              
18             ci37219156     35.891         -117.7365      9.1            4.64           107            3              4              1              
19             ci37219468     35.861         -117.6778333   6.82           4.52           100            3              3              1              
20             ci37219164     35.8031667     -117.6178333   11.44          4.84           93             3              3              1              
22             ci37219180     35.9138333     -117.7258333   8.0            4.5            107            2              4              1              
23             ci37219564     35.5303333     -117.4313333   3.83           4.57           62             2              4              1              
24             ci38457583     35.9028333     -117.7115      3.18           4.51           106            2              3              1              
25             ci38457687     35.9011667     -117.7495      5.04           5.5            108            2              6              2              
26             ci38457703     35.9035        -117.7001667   8.26           4.97           105            2              3              1              
27             ci38457775     35.5551667     -117.5215      5.5            4.68           71             7              7              2              
28             ci38457815     35.5846667     -117.6145      9.73           4.8            81             3              3              0              
29             ci38457847     35.9101667     -117.6848333   7.41           5.44           104            2              3              1              
30             ci38457967     35.9           -117.7376667   1.9            4.85           107            2              3              1              
31             ci38458679     35.911         -117.7385      4.99           4.63           108            3              4              1              
32             ci38460311     35.639         -117.4913333   3.14           4.56           73             2              3              1              
33             ci38460967     35.898         -117.7271667   3.95           4.89           106            3              3              1              
34             ci38463551     35.9283333     -117.705       2.37           4.5            107            1              3              1              
35             ci38469375     35.8235        -117.663       6.51           4.5            97             3              3              1              
36             ci38472279     35.7683333     -117.5781667   10.45          4.53           88             2              3              1              
37             ci38525207     36.1766667     -117.884       0.93           4.52           138            2              4              1              
38             ci38548295     35.6368333     -117.5861667   9.48           4.9            81             4              4              1              
39             ci38593535     36.113         -117.8875      1.56           4.64           133            1              3              1              
40             ci38644943     35.9258333     -117.7066667   3.79           4.74           107            1              3              1              
41             ci38996632     35.9076667     -117.709       4.93           4.89           106            2              2              1              
42             ci39281440     35.0975        -116.9696667   3.07           4.62           27             3              3              1              
43             ci39462536     35.6148333     -117.4281667   8.44           5.51           67             2              4              1              
44             ci40063391     35.7091667     -117.5843333   6.3            4.58           84             2              7              2              
