no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
8              nn00482627     37.1418        -117.2618      17.0           4.8            56             6              6              1              
9              ci37222196     35.9496667     -117.7376667   9.28           4.81           110            3              3              1              
13             ci37219172     35.8606667     -117.6708333   10.32          4.61           114            5              5              1              
14             ci37219180     35.9138333     -117.7258333   8.0            4.5            112            9              9              1              
15             ci38457583     35.9028333     -117.7115      3.18           4.51           113            7              7              0              
16             ci38457687     35.9011667     -117.7495      5.04           5.5            115            4              5              1              
17             ci38457703     35.9035        -117.7001667   8.26           4.97           112            8              11             3              
18             ci38457847     35.9101667     -117.6848333   7.41           5.44           111            5              8              2              
19             ci38457967     35.9           -117.7376667   1.9            4.85           114            1              10             3              
20             ci38458679     35.911         -117.7385      4.99           4.63           113            8              8              1              
21             ci38460967     35.898         -117.7271667   3.95           4.89           114            4              7              1              
22             ci38463551     35.9283333     -117.705       2.37           4.5            110            9              9              2              
23             ci38469375     35.8235        -117.663       6.51           4.5            117            4              5              1              
24             ci38525207     36.1766667     -117.884       0.93           4.52           102            4              9              2              
25             ci38593535     36.113         -117.8875      1.56           4.64           106            1              3              1              
26             ci38644943     35.9258333     -117.7066667   3.79           4.74           110            10             10             1              
27             ci38996632     35.9076667     -117.709       4.93           4.89           112            7              8              2              
28             ci39490952     36.4466667     -117.984       2.26           4.65           95             7              7              1              
29             ci39493944     36.4468333     -117.9751667   4.66           5.8            95             3              5              1              
30             ci39494008     36.456         -117.9311667   9.62           4.59           91             4              4              1              
31             ci39584648     36.4786667     -117.5141667   -0.57          4.72           55             10             15             2              
