no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
8                             nn00482627                    2015-02-14T02:28:56.228000Z   37.1418                       -117.2618                     17                            4.8                           53.0                          
9                             ci37222196                    2019-07-06T03:20:41.140000Z   35.9496667                    -117.7376667                  9.28                          4.81                          110.0                         
10                            ci38457519                    2019-07-06T03:22:03.570000Z   35.9216667                    -117.729                      8.17                          4.64                          112.0                         
11                            ci37219156                    2019-07-06T03:22:48.300000Z   35.891                        -117.7365                     9.1                           4.64                          115.0                         
12                            ci37219468                    2019-07-06T03:23:19.870000Z   35.861                        -117.6778333                  6.82                          4.52                          115.0                         
13                            ci37219172                    2019-07-06T03:25:27.970000Z   35.8606667                    -117.6708333                  10.32                         4.61                          114.0                         
14                            ci37219180                    2019-07-06T03:27:07.010000Z   35.9138333                    -117.7258333                  8                             4.5                           112.0                         
15                            ci38457583                    2019-07-06T03:29:32.080000Z   35.9028333                    -117.7115                     3.18                          4.51                          113.0                         
16                            ci38457687                    2019-07-06T03:47:53.420000Z   35.9011667                    -117.7495                     5.04                          5.5                           115.0                         
17                            ci38457703                    2019-07-06T03:50:59.710000Z   35.9035                       -117.7001667                  8.26                          4.97                          112.0                         
18                            ci38457847                    2019-07-06T04:18:55.790000Z   35.9101667                    -117.6848333                  7.41                          5.44                          111.0                         
19                            ci38457967                    2019-07-06T04:36:55.310000Z   35.9                          -117.7376667                  1.9                           4.85                          114.0                         
20                            ci38458679                    2019-07-06T06:01:51.800000Z   35.911                        -117.7385                     4.99                          4.63                          113.0                         
21                            ci38460967                    2019-07-06T09:28:28.980000Z   35.898                        -117.7271667                  3.95                          4.89                          114.0                         
22                            ci38463551                    2019-07-06T13:06:55.260000Z   35.9283333                    -117.705                      2.37                          4.5                           110.0                         
23                            ci38469375                    2019-07-06T23:50:41.990000Z   35.8235                       -117.663                      6.51                          4.5                           117.0                         
24                            ci38525207                    2019-07-11T00:14:37.320000Z   36.1766667                    -117.884                      0.93                          4.52                          102.0                         
25                            ci38593535                    2019-07-18T03:59:14.720000Z   36.113                        -117.8875                     1.56                          4.64                          106.0                         
26                            ci38644943                    2019-07-26T00:42:47.770000Z   35.9258333                    -117.7066667                  3.79                          4.74                          110.0                         
27                            ci38996632                    2019-08-22T20:49:50.180000Z   35.9076667                    -117.709                      4.93                          4.89                          112.0                         
28                            ci39490952                    2020-06-23T00:25:46.390000Z   36.4466667                    -117.984                      2.26                          4.65                          95.0                          
29                            ci39493944                    2020-06-24T17:40:49.240000Z   36.4468333                    -117.9751667                  4.66                          5.8                           95.0                          
30                            ci39494008                    2020-06-24T17:59:19.960000Z   36.456                        -117.9311667                  9.62                          4.59                          90.0                          
31                            ci39584648                    2020-08-19T17:32:11.070000Z   36.4786667                    -117.5141667                  -0.57                         4.72                          55.0                          
32                            nc73674211                    2022-01-06T00:28:07.010000Z   37.3338333                    -117.9023333                  9.5                           4.75                          107.0                         
