no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
74                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          92.0                          
75                            ci38138175                    2018-11-19T20:18:42.510000Z   32.2065                       -115.2535                     10.95                         4.82                          94.0                          
76                            ci39126079                    2020-04-04T01:53:18.920000Z   33.4895                       -116.5063333                  10.45                         4.87                          100.0                         
77                            ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          42.0                          
78                            ci39338407                    2020-08-10T15:56:14.330000Z   33.2468333                    -115.69                       2.07                          4.59                          77.0                          
79                            ci39641528                    2020-10-01T00:31:27.280000Z   33.0546667                    -115.5906667                  14.19                         4.93                          66.0                          
80                            ci39596135                    2021-03-31T08:56:25.940000Z   32.3903333                    -115.2498333                  19.22                         4.75                          86.0                          
81                            ci39919392                    2021-06-05T17:55:58.820000Z   33.14                         -115.6348333                  5.78                          5.25                          70.0                          
82                            ci40236864                    2022-04-15T04:30:55.980000Z   31.9305                       -116.8925                     14.51                         4.53                          109.0                         
83                            ci39720706                    2023-12-01T07:43:27.480000Z   32.7518333                    -115.8728333                  8.69                          4.8                           25.0                          
