no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci13935988     34.312         -116.8448333   5.589          4.99           67             12             15             3              
3              ci13936812     34.3096667     -116.8503333   1.409          4.5            67             5              15             5              
4              ci13938812     34.3155        -116.8445      1.099          4.61           68             12             14             2              
5              ci13945908     34.3591667     -116.1331667   3.069          4.64           89             4              7              2              
6              ci14151344     33.5325        -116.5666667   13.051         5.2            27             11             13             3              
7              ci14155260     34.058         -117.0113333   10.558         4.88           48             10             10             1              
8              ci14178184     33.1663333     -115.6351667   4.003          4.63           117            2              4              1              
9              ci12217067     33.1748333     -115.6311667   4.977          4.5            117            2              4              1              
10             ci14179736     33.1533333     -115.6463333   1.207          5.08           117            2              4              1              
11             ci10275733     33.7321667     -117.477       12.192         4.73           72             10             11             3              
12             ci14383980     33.9485        -117.7663333   15.503         5.44           102            9              9              3              
13             ci14433456     33.3171667     -115.7281667   6.003          4.77           101            12             12             0              
14             ci10736069     33.4173333     -116.4746667   12.318         5.42           42             4              4              1              
15             ci10832573     32.8645        -115.9973333   13.146         4.57           116            11             13             4              
16             ci15296281     33.5008333     -116.4581667   10.943         4.7            35             4              14             5              
17             ci15520985     34.2823333     -117.0266667   7.25           4.58           69             16             16             2              
18             ci37374687     33.4315        -116.4426667   12.31          5.19           42             9              13             2              
20             ci38488354     33.0183333     -116.0201667   10.16          4.54           101            12             15             4              
21             ci39338407     33.2468333     -115.69        2.07           4.59           108            11             12             3              
22             ci39919392     33.14          -115.6348333   5.78           5.25           119            2              10             3              
