no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
2                             ci13935988                    2003-02-22T12:19:10.920000Z   34.312                        -116.8448333                  5.589                         4.99                          67.0                          
3                             ci13936812                    2003-02-22T19:33:45.800000Z   34.3096667                    -116.8503333                  1.409                         4.5                           67.0                          
4                             ci13938812                    2003-02-25T04:03:04.800000Z   34.3155                       -116.8445                     1.099                         4.61                          68.0                          
5                             ci13945908                    2003-03-11T19:28:17.910000Z   34.3591667                    -116.1331667                  3.069                         4.64                          89.0                          
6                             ci14151344                    2005-06-12T15:41:46.520000Z   33.5325                       -116.5666667                  13.051                        5.2                           24.0                          
7                             ci14155260                    2005-06-16T20:53:26.020000Z   34.058                        -117.0113333                  10.558                        4.88                          47.0                          
8                             ci14178184                    2005-08-31T22:47:45.530000Z   33.1663333                    -115.6351667                  4.003                         4.63                          117.0                         
9                             ci12217067                    2005-09-02T01:27:18.610000Z   33.1748333                    -115.6311667                  4.977                         4.5                           117.0                         
10                            ci14179736                    2005-09-02T01:27:19.590000Z   33.1533333                    -115.6463333                  1.207                         5.08                          117.0                         
11                            ci10275733                    2007-09-02T17:29:14.790000Z   33.7321667                    -117.477                      12.192                        4.73                          71.0                          
12                            ci14383980                    2008-07-29T18:42:15.670000Z   33.9485                       -117.7663333                  15.503                        5.44                          101.0                         
13                            ci14433456                    2009-03-24T11:55:43.930000Z   33.3171667                    -115.7281667                  6.003                         4.77                          101.0                         
14                            ci10736069                    2010-07-07T23:53:33.480000Z   33.4173333                    -116.4746667                  12.318                        5.42                          40.0                          
15                            ci10832573                    2010-11-04T19:39:59.550000Z   32.8645                       -115.9973333                  13.146                        4.57                          115.0                         
16                            ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           33.0                          
17                            ci15520985                    2014-07-05T16:59:34.090000Z   34.2823333                    -117.0266667                  7.25                          4.58                          69.0                          
18                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          40.0                          
20                            ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          100.0                         
21                            ci39338407                    2020-08-10T15:56:14.330000Z   33.2468333                    -115.69                       2.07                          4.59                          108.0                         
22                            ci39919392                    2021-06-05T17:55:58.820000Z   33.14                         -115.6348333                  5.78                          5.25                          119.0                         
