no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
10             nn00550904     38.6516        -118.7943      9.1            4.5            52             5              5              1              
11             nn00570709     38.3755        -118.8989      11.3           5.6            39             3              3              1              
12             nn00570710     38.3904        -118.8972      12.2           5.6            40             1              4              1              
13             nn00570744     38.3777        -118.8957      8.8            5.5            38             2              4              1              
14             nc73367270     38.0525        -118.7333333   8.45           5.24           31             1              3              1              
15             nc73367575     38.0421667     -118.758       8.94           4.57           33             1              3              1              
16             nn00725272     38.1689        -117.8497      2.7            6.5            58             1              3              1              
17             nn00725284     38.1596        -117.9598      3.8            4.9            49             2              2              0              
18             nn00725291     38.1811        -117.8711      6.8            5.1            56             2              3              1              
19             nn00725306     38.1469        -117.9831      5.8            4.8            47             2              3              1              
20             nn00725312     38.1667        -117.8104      6.3            4.5            62             2              3              1              
21             nn00725454     38.1667        -117.8006      7.6            4.8            62             3              3              1              
22             nn00725546     38.173         -117.8295      5.8            4.7            60             1              2              0              
23             nn00726009     38.1313        -117.9756      5.0            4.6            48             3              3              1              
24             nn00726353     38.2118        -117.7347      16.8           4.6            70             2              3              1              
25             nn00727244     38.15          -117.9553      9.6            4.5            50             2              3              1              
26             nn00727561     38.1749        -117.8028      10.4           4.7            63             6              6              1              
27             nn00728819     38.1755        -117.8535      8.1            4.6            59             3              3              1              
28             nn00729332     38.2012        -117.7453      11.7           5.0            68             1              2              0              
29             nn00730721     38.2309        -117.7939      7.2            5.1            62             1              3              1              
30             nn00744961     38.2059        -117.7912      5.2            4.8            63             1              3              1              
31             nn00750312     38.1698        -117.8345      6.5            4.9            59             1              5              1              
32             nn00755218     38.1539        -117.9583      8.3            5.0            50             3              3              1              
33             nn00757297     38.1856        -117.8907      5.6            4.5            54             1              3              1              
34             nn00782942     38.1693        -117.8533      4.8            5.3            58             1              3              1              
35             nn00787105     38.1637        -118.0837      5.0            5.1            38             2              2              0              
36             nn00788443     38.175         -118.0654      5.0            4.9            39             3              3              1              
37             nn00791435     38.1497        -118.1008      6.4            4.9            38             3              3              1              
38             nn00792158     38.1554        -118.1231      5.2            4.7            35             2              3              1              
39             nc73584926     38.5075        -119.4998333   7.45           6.0            91             3              4              1              
40             nc71123379     38.5126667     -119.5021667   7.4            5.03           92             3              3              1              
41             nc73585021     38.4796667     -119.5448333   1.58           4.63           94             2              4              1              
42             nc73585291     38.5086667     -119.5343333   3.71           4.55           94             2              4              1              
43             nc73674211     37.3338333     -117.9023333   9.5            4.75           115            2              3              1              
44             nn00833903     38.1814        -117.7833      4.1            4.7            64             2              3              1              
