no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
5              ci38443183     35.7053333     -117.5038333   10.5           6.4            32             2              3              1              
6              ci38443607     35.6013333     -117.597       2.81           4.59           16             4              4              0              
7              ci38443719     35.716         -117.56        1.92           4.58           28             5              9              1              
8              ci38443871     35.6715        -117.4788333   5.16           4.5            28             11             11             1              
9              ci38450263     35.7603333     -117.575       6.95           5.37           34             6              6              1              
10             ci38457487     35.7253333     -117.5535      0.88           4.97           30             5              5              0              
11             ci38457511     35.7695        -117.5993333   8.0            7.1            34             5              5              1              
13             ci38457519     35.9216667     -117.729       8.17           4.64           50             8              8              2              
14             ci37219484     35.748         -117.5456667   3.9            4.55           32             8              8              2              
15             ci37219500     35.6166667     -117.4301667   9.35           4.73           29             8              8              2              
16             ci37219156     35.891         -117.7365      9.1            4.64           47             6              8              2              
17             ci37219468     35.861         -117.6778333   6.82           4.52           43             6              12             3              
18             ci37219164     35.8031667     -117.6178333   11.44          4.84           38             8              8              2              
19             ci37219172     35.8606667     -117.6708333   10.32          4.61           43             6              6              0              
20             ci37219180     35.9138333     -117.7258333   8.0            4.5            49             8              8              1              
21             ci37219564     35.5303333     -117.4313333   3.83           4.57           23             8              8              1              
22             ci38457583     35.9028333     -117.7115      3.18           4.51           47             8              9              2              
23             ci38457687     35.9011667     -117.7495      5.04           5.5            47             5              6              1              
24             ci38457703     35.9035        -117.7001667   8.26           4.97           48             7              7              2              
25             ci38457775     35.5551667     -117.5215      5.5            4.68           18             7              7              0              
26             ci38457815     35.5846667     -117.6145      9.73           4.8            16             3              3              0              
27             ci38457847     35.9101667     -117.6848333   7.41           5.44           49             6              6              2              
28             ci38457967     35.9           -117.7376667   1.9            4.85           47             7              9              2              
29             ci38458679     35.911         -117.7385      4.99           4.63           48             9              9              1              
30             ci38460311     35.639         -117.4913333   3.14           4.56           25             3              3              0              
31             ci38460967     35.898         -117.7271667   3.95           4.89           47             4              7              1              
32             ci38463551     35.9283333     -117.705       2.37           4.5            50             6              6              2              
33             ci38469375     35.8235        -117.663       6.51           4.5            39             7              7              2              
34             ci38472279     35.7683333     -117.5781667   10.45          4.53           35             4              4              0              
35             ci38525207     36.1766667     -117.884       0.93           4.52           79             5              7              1              
36             ci38548295     35.6368333     -117.5861667   9.48           4.9            21             4              4              0              
37             ci38593535     36.113         -117.8875      1.56           4.64           73             4              10             2              
38             ci38644943     35.9258333     -117.7066667   3.79           4.74           50             5              7              1              
39             ci38996632     35.9076667     -117.709       4.93           4.89           48             5              9              3              
40             ci39281440     35.0975        -116.9696667   3.07           4.62           77             4              7              1              
41             ci39462536     35.6148333     -117.4281667   8.44           5.51           28             8              8              0              
42             ci40063391     35.7091667     -117.5843333   6.3            4.58           28             6              10             2              
