no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci14151344     33.5325        -116.5666667   13.051         5.2            24             4              4              1              
3              ci14155260     34.058         -117.0113333   10.558         4.88           90             5              5              1              
4              ci14178184     33.1663333     -115.6351667   4.003          4.63           89             5              5              1              
5              ci14178248     33.1896667     -115.603       4.267          4.57           91             2              5              1              
6              ci12217067     33.1748333     -115.6311667   4.977          4.5            89             2              2              0              
7              ci14179736     33.1533333     -115.6463333   1.207          5.08           88             2              2              0              
8              ci10215753     32.676         -116.0481667   13.436         4.62           90             3              4              1              
9              ci10275733     33.7321667     -117.477       12.192         4.73           96             4              6              2              
10             ci10368325     32.5681667     -115.5428333   10.01          4.52           129            2              2              1              
11             ci14433456     33.3171667     -115.7281667   6.003          4.77           78             2              5              1              
13             ci14607972     32.4623333     -115.5978333   9.966          4.7            134            5              5              1              
14             ci14608980     32.5933333     -115.7733333   4.085          4.68           112            4              6              1              
15             ci14609660     32.6465        -115.8055      1.243          4.96           105            4              4              1              
16             ci14612516     32.6638333     -115.8088333   13.653         4.93           105            2              5              1              
17             ci14613212     32.6401667     -115.8018333   0.002          4.73           106            2              4              1              
18             ci14617100     32.5936667     -115.7738333   3.983          4.56           112            3              6              1              
19             ci14618772     32.6651667     -115.8106667   1.733          4.51           103            4              4              1              
20             ci10597061     32.6753333     -115.7581667   9.715          4.5            106            5              6              1              
21             ci10629477     32.6595        -115.8075      5.315          4.63           104            4              4              1              
22             ci14682004     32.6921667     -115.8465      3.278          4.58           99             2              6              2              
23             ci10657533     32.6815        -115.7971667   5.955          4.8            103            2              7              2              
24             ci10657549     32.6755        -115.8101667   2.383          4.69           103            2              5              1              
25             ci10671989     32.6601667     -115.8253333   8.913          4.53           103            2              3              1              
26             ci14718756     32.6168333     -115.7563333   8.073          4.9            111            3              6              1              
27             ci14718764     32.6243333     -115.7683333   7.493          4.6            110            5              5              1              
28             ci14745580     32.705         -115.9113333   8.756          5.71           94             1              3              1              
29             ci10736069     33.4173333     -116.4746667   12.318         5.42           17             1              1              0              
30             ci10832573     32.8645        -115.9973333   13.146         4.57           76             6              7              2              
31             ci15199593     33.0158333     -115.5363333   4.79           4.59           103            1              4              1              
32             ci15199681     33.0171667     -115.5536667   8.323          5.32           101            2              2              0              
33             ci15199689     33.0135        -115.5591667   4.387          4.89           101            1              2              0              
34             ci15200401     33.0185        -115.5403333   8.283          5.41           102            2              2              0              
35             ci15201537     33.028         -115.5305      7.47           4.63           103            1              5              1              
36             ci15202921     33.0211667     -115.5195      4.17           4.93           104            2              3              1              
37             ci15296281     33.5008333     -116.4581667   10.943         4.7            22             3              7              2              
38             ci37374687     33.4315        -116.4426667   12.31          5.19           19             5              5              0              
39             ci39126079     33.4895        -116.5063333   10.45          4.87           19             7              7              1              
40             ci38488354     33.0183333     -116.0201667   10.16          4.54           64             3              3              0              
41             ci39338407     33.2468333     -115.69        2.07           4.59           82             4              5              1              
42             ci39641528     33.0546667     -115.5906667   14.19          4.93           97             2              3              1              
43             ci39919392     33.14          -115.6348333   5.78           5.25           89             2              3              1              
