no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
22             nn00726353     38.2118        -117.7347      16.8           4.6            27             11             12             1              
23             nn00727244     38.15          -117.9553      9.6            4.5            10             11             11             3              
24             nn00727561     38.1749        -117.8028      10.4           4.7            17             12             12             2              
25             nn00728819     38.1755        -117.8535      8.1            4.6            13             11             14             2              
26             nn00729332     38.2012        -117.7453      11.7           5.0            23             13             16             5              
27             nn00730721     38.2309        -117.7939      7.2            5.1            19             11             12             3              
28             nn00744961     38.2059        -117.7912      5.2            4.8            18             13             17             3              
29             nn00750312     38.1698        -117.8345      6.5            4.9            13             12             13             4              
30             nn00755218     38.1539        -117.9583      8.3            5.0            9              11             11             0              
31             nn00757297     38.1856        -117.8907      5.6            4.5            10             14             14             0              
32             nn00782942     38.1693        -117.8533      4.8            5.3            11             11             12             3              
33             nn00787105     38.1637        -118.0837      5.0            5.1            12             11             13             1              
34             nn00788443     38.175         -118.0654      5.0            4.9            11             11             16             3              
35             nn00791435     38.1497        -118.1008      6.4            4.9            14             11             11             2              
36             nn00792158     38.1554        -118.1231      5.2            4.7            15             11             13             4              
37             nc73674211     37.3338333     -117.9023333   9.5            4.75           90             12             14             3              
38             nn00833903     38.1814        -117.7833      4.1            4.7            17             12             14             5              
