no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
24                            nn00727561                    2020-05-17T21:17:02.474000Z   38.1749                       -117.8028                     10.4                          4.7                           16.0                          
27                            nn00730721                    2020-05-22T00:22:00.588000Z   38.2309                       -117.7939                     7.2                           5.1                           17.0                          
28                            nn00744961                    2020-06-08T03:24:05.884000Z   38.2059                       -117.7912                     5.2                           4.8                           17.0                          
29                            nn00750312                    2020-06-19T20:42:21.454000Z   38.1698                       -117.8345                     6.5                           4.9                           14.0                          
30                            nn00755218                    2020-06-30T09:24:23.549000Z   38.1539                       -117.9583                     8.3                           5                             6.0                           
31                            nn00757297                    2020-07-06T06:12:54.847000Z   38.1856                       -117.8907                     5.6                           4.5                           8.0                           
32                            nn00782942                    2020-11-13T09:13:51.862000Z   38.1693                       -117.8533                     4.8                           5.3                           12.0                          
33                            nn00787105                    2020-12-01T23:32:56.573000Z   38.1637                       -118.0837                     5                             5.1                           9.0                           
34                            nn00788443                    2020-12-03T05:15:29.993000Z   38.175                        -118.0654                     5                             4.9                           8.0                           
35                            nn00791435                    2020-12-12T07:50:52.930000Z   38.1497                       -118.1008                     6.4                           4.9                           12.0                          
36                            nn00792158                    2020-12-14T21:20:10.831000Z   38.1554                       -118.1231                     5.2                           4.7                           13.0                          
37                            nc73674211                    2022-01-06T00:28:07.010000Z   37.3338333                    -117.9023333                  9.5                           4.75                          96.0                          
38                            nn00833903                    2022-02-15T21:16:24.065000Z   38.1814                       -117.7833                     4.1                           4.7                           18.0                          
