no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
8              nc72592670     37.2023333     -118.4035      15.06          4.77           63             6              6              1              
9              nn00570709     38.3755        -118.8989      11.3           5.6            84             2              3              1              
10             nn00570710     38.3904        -118.8972      12.2           5.6            86             2              3              1              
11             nn00570744     38.3777        -118.8957      8.8            5.5            83             1              2              0              
12             nc73367270     38.0525        -118.7333333   8.45           5.24           49             2              2              1              
13             nc73367575     38.0421667     -118.758       8.94           4.57           47             3              4              1              
14             nn00725272     38.1689        -117.8497      2.7            6.5            105            2              2              0              
15             nn00725284     38.1596        -117.9598      3.8            4.9            97             2              2              0              
16             nn00725291     38.1811        -117.8711      6.8            5.1            105            1              3              1              
17             nn00725306     38.1469        -117.9831      5.8            4.8            94             1              3              1              
18             nn00725312     38.1667        -117.8104      6.3            4.5            108            3              5              1              
19             nn00725454     38.1667        -117.8006      7.6            4.8            109            2              4              1              
20             nn00725546     38.173         -117.8295      5.8            4.7            107            1              3              1              
21             nn00726009     38.1313        -117.9756      5.0            4.6            94             2              5              1              
22             nn00726353     38.2118        -117.7347      16.8           4.6            117            1              3              1              
23             nn00727244     38.15          -117.9553      9.6            4.5            97             4              4              1              
24             nn00727561     38.1749        -117.8028      10.4           4.7            109            3              5              1              
25             nn00728819     38.1755        -117.8535      8.1            4.6            105            2              7              2              
26             nn00729332     38.2012        -117.7453      11.7           5.0            116            1              2              1              
27             nn00730721     38.2309        -117.7939      7.2            5.1            113            1              3              1              
28             nn00744961     38.2059        -117.7912      5.2            4.8            112            2              2              0              
29             nn00750312     38.1698        -117.8345      6.5            4.9            106            2              2              0              
30             nn00755218     38.1539        -117.9583      8.3            5.0            97             2              3              0              
31             nn00757297     38.1856        -117.8907      5.6            4.5            103            5              7              2              
32             nn00782942     38.1693        -117.8533      4.8            5.3            105            3              3              1              
33             nn00787105     38.1637        -118.0837      5.0            5.1            89             5              5              1              
34             nn00788443     38.175         -118.0654      5.0            4.9            91             3              4              1              
35             nn00791435     38.1497        -118.1008      6.4            4.9            87             3              5              1              
36             nn00792158     38.1554        -118.1231      5.2            4.7            86             2              5              1              
37             nc73584926     38.5075        -119.4998333   7.45           6.0            113            1              3              1              
38             nc71123379     38.5126667     -119.5021667   7.4            5.03           114            1              3              1              
39             nc73585021     38.4796667     -119.5448333   1.58           4.63           113            1              3              1              
40             nc73585291     38.5086667     -119.5343333   3.71           4.55           115            2              3              1              
41             nc73674211     37.3338333     -117.9023333   9.5            4.75           90             2              2              0              
42             nn00833903     38.1814        -117.7833      4.1            4.7            111            3              3              1              
