no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
8                             nc72592670                    2016-02-16T23:04:26.910000Z   37.2023333                    -118.4035                     15.06                         4.77                          61.0                          
9                             nn00570709                    2016-12-28T08:18:00.613000Z   38.3755                       -118.8989                     11.3                          5.6                           83.0                          
10                            nn00570710                    2016-12-28T08:22:12.208000Z   38.3904                       -118.8972                     12.2                          5.6                           85.0                          
11                            nn00570744                    2016-12-28T09:13:47.243000Z   38.3777                       -118.8957                     8.8                           5.5                           83.0                          
12                            nc73367270                    2020-04-11T14:36:37.040000Z   38.0525                       -118.7333333                  8.45                          5.24                          48.0                          
13                            nc73367575                    2020-04-11T16:22:50.940000Z   38.0421667                    -118.758                      8.94                          4.57                          46.0                          
14                            nn00725272                    2020-05-15T11:03:27.176000Z   38.1689                       -117.8497                     2.7                           6.5                           105.0                         
15                            nn00725284                    2020-05-15T11:18:12.392000Z   38.1596                       -117.9598                     3.8                           4.9                           97.0                          
16                            nn00725291                    2020-05-15T11:26:01.747000Z   38.1811                       -117.8711                     6.8                           5.1                           105.0                         
17                            nn00725306                    2020-05-15T11:52:07.184000Z   38.1469                       -117.9831                     5.8                           4.8                           94.0                          
18                            nn00725312                    2020-05-15T12:00:41.572000Z   38.1667                       -117.8104                     6.3                           4.5                           108.0                         
19                            nn00725454                    2020-05-15T15:23:24.676000Z   38.1667                       -117.8006                     7.6                           4.8                           109.0                         
20                            nn00725546                    2020-05-15T17:50:16.941000Z   38.173                        -117.8295                     5.8                           4.7                           107.0                         
21                            nn00726009                    2020-05-16T04:12:21.434000Z   38.1313                       -117.9756                     5                             4.6                           94.0                          
22                            nn00726353                    2020-05-16T11:50:54.310000Z   38.2118                       -117.7347                     16.8                          4.6                           116.0                         
23                            nn00727244                    2020-05-17T11:53:53.336000Z   38.15                         -117.9553                     9.6                           4.5                           97.0                          
24                            nn00727561                    2020-05-17T21:17:02.474000Z   38.1749                       -117.8028                     10.4                          4.7                           109.0                         
25                            nn00728819                    2020-05-19T22:12:45.639000Z   38.1755                       -117.8535                     8.1                           4.6                           105.0                         
26                            nn00729332                    2020-05-20T12:36:53.447000Z   38.2012                       -117.7453                     11.7                          5                             115.0                         
27                            nn00730721                    2020-05-22T00:22:00.588000Z   38.2309                       -117.7939                     7.2                           5.1                           113.0                         
28                            nn00744961                    2020-06-08T03:24:05.884000Z   38.2059                       -117.7912                     5.2                           4.8                           112.0                         
29                            nn00750312                    2020-06-19T20:42:21.454000Z   38.1698                       -117.8345                     6.5                           4.9                           106.0                         
30                            nn00755218                    2020-06-30T09:24:23.549000Z   38.1539                       -117.9583                     8.3                           5                             97.0                          
31                            nn00757297                    2020-07-06T06:12:54.847000Z   38.1856                       -117.8907                     5.6                           4.5                           103.0                         
32                            nn00782942                    2020-11-13T09:13:51.862000Z   38.1693                       -117.8533                     4.8                           5.3                           105.0                         
33                            nn00787105                    2020-12-01T23:32:56.573000Z   38.1637                       -118.0837                     5                             5.1                           89.0                          
34                            nn00788443                    2020-12-03T05:15:29.993000Z   38.175                        -118.0654                     5                             4.9                           91.0                          
35                            nn00791435                    2020-12-12T07:50:52.930000Z   38.1497                       -118.1008                     6.4                           4.9                           87.0                          
36                            nn00792158                    2020-12-14T21:20:10.831000Z   38.1554                       -118.1231                     5.2                           4.7                           86.0                          
37                            nc73584926                    2021-07-08T22:49:48.110000Z   38.5075                       -119.4998333                  7.45                          6                             113.0                         
38                            nc71123379                    2021-07-08T22:50:14.370000Z   38.5126667                    -119.5021667                  7.4                           5.03                          114.0                         
39                            nc73585021                    2021-07-08T23:33:40.900000Z   38.4796667                    -119.5448333                  1.58                          4.63                          113.0                         
40                            nc73585291                    2021-07-09T01:46:00.400000Z   38.5086667                    -119.5343333                  3.71                          4.55                          115.0                         
41                            nc73674211                    2022-01-06T00:28:07.010000Z   37.3338333                    -117.9023333                  9.5                           4.75                          89.0                          
42                            nn00833903                    2022-02-15T21:16:24.065000Z   38.1814                       -117.7833                     4.1                           4.7                           111.0                         
