no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
10             ci10368325     32.5681667     -115.5428333   10.01          4.52           91             8              8              3              
11             ci14433456     33.3171667     -115.7281667   6.003          4.77           80             3              5              1              
14             ci14608980     32.5933333     -115.7733333   4.085          4.68           69             5              5              1              
15             ci14609660     32.6465        -115.8055      1.243          4.96           64             2              5              1              
16             ci14612516     32.6638333     -115.8088333   13.653         4.93           64             5              5              1              
17             ci14613212     32.6401667     -115.8018333   0.002          4.73           64             3              3              1              
18             ci14617100     32.5936667     -115.7738333   3.983          4.56           69             3              3              0              
19             ci14618772     32.6651667     -115.8106667   1.733          4.51           63             3              8              2              
20             ci10597061     32.6753333     -115.7581667   9.715          4.5            68             3              3              0              
21             ci10629477     32.6595        -115.8075      5.315          4.63           63             2              3              1              
22             ci14682004     32.6921667     -115.8465      3.278          4.58           58             2              14             4              
23             ci10657533     32.6815        -115.7971667   5.955          4.8            63             3              4              1              
24             ci10657549     32.6755        -115.8101667   2.383          4.69           62             2              2              0              
25             ci10671989     32.6601667     -115.8253333   8.913          4.53           63             2              3              1              
28             ci14745580     32.705         -115.9113333   8.756          5.71           53             3              5              1              
29             ci10736069     33.4173333     -116.4746667   12.318         5.42           59             6              6              1              
30             ci10832573     32.8645        -115.9973333   13.146         4.57           42             9              10             1              
31             ci11129826     32.2071667     -115.3431667   2.821          4.64           127            3              10             3              
32             ci15199593     33.0158333     -115.5363333   4.79           4.59           84             2              3              1              
33             ci15199681     33.0171667     -115.5536667   8.323          5.32           82             3              3              1              
34             ci15199689     33.0135        -115.5591667   4.387          4.89           82             1              3              1              
35             ci15200401     33.0185        -115.5403333   8.283          5.41           84             4              4              0              
36             ci15201537     33.028         -115.5305      7.47           4.63           85             3              4              1              
37             ci15202921     33.0211667     -115.5195      4.17           4.93           86             1              3              1              
38             ci15296281     33.5008333     -116.4581667   10.943         4.7            69             3              4              1              
39             ci37374687     33.4315        -116.4426667   12.31          5.19           61             7              8              1              
