no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
10                            ci10368325                    2008-12-28T05:17:07.470000Z   32.5681667                    -115.5428333                  10.01                         4.52                          90.0                          
11                            ci14433456                    2009-03-24T11:55:43.930000Z   33.3171667                    -115.7281667                  6.003                         4.77                          80.0                          
14                            ci14608980                    2010-04-05T01:52:25.420000Z   32.5933333                    -115.7733333                  4.085                         4.68                          69.0                          
15                            ci14609660                    2010-04-05T03:15:24.770000Z   32.6465                       -115.8055                     1.243                         4.96                          64.0                          
16                            ci14612516                    2010-04-05T11:14:14.890000Z   32.6638333                    -115.8088333                  13.653                        4.93                          63.0                          
17                            ci14613212                    2010-04-05T13:33:05.360000Z   32.6401667                    -115.8018333                  0.002                         4.73                          64.0                          
18                            ci14617100                    2010-04-06T04:12:21.260000Z   32.5936667                    -115.7738333                  3.983                         4.56                          69.0                          
19                            ci14618772                    2010-04-06T10:06:37.750000Z   32.6651667                    -115.8106667                  1.733                         4.51                          63.0                          
20                            ci10597061                    2010-04-10T09:12:28.030000Z   32.6753333                    -115.7581667                  9.715                         4.5                           67.0                          
21                            ci10629477                    2010-04-22T17:12:13.050000Z   32.6595                       -115.8075                     5.315                         4.63                          63.0                          
22                            ci14682004                    2010-04-27T10:55:35.720000Z   32.6921667                    -115.8465                     3.278                         4.58                          58.0                          
23                            ci10657533                    2010-05-08T18:33:10.750000Z   32.6815                       -115.7971667                  5.955                         4.8                           63.0                          
24                            ci10657549                    2010-05-08T18:46:27.460000Z   32.6755                       -115.8101667                  2.383                         4.69                          62.0                          
25                            ci10671989                    2010-05-19T00:38:59.780000Z   32.6601667                    -115.8253333                  8.913                         4.53                          62.0                          
28                            ci14745580                    2010-06-15T04:26:58.240000Z   32.705                        -115.9113333                  8.756                         5.71                          52.0                          
29                            ci10736069                    2010-07-07T23:53:33.480000Z   33.4173333                    -116.4746667                  12.318                        5.42                          58.0                          
30                            ci10832573                    2010-11-04T19:39:59.550000Z   32.8645                       -115.9973333                  13.146                        4.57                          40.0                          
31                            ci11129826                    2012-07-01T03:25:20.450000Z   32.2071667                    -115.3431667                  2.821                         4.64                          127.0                         
32                            ci15199593                    2012-08-26T19:20:04.810000Z   33.0158333                    -115.5363333                  4.79                          4.59                          84.0                          
33                            ci15199681                    2012-08-26T19:31:23.040000Z   33.0171667                    -115.5536667                  8.323                         5.32                          82.0                          
34                            ci15199689                    2012-08-26T19:33:01.090000Z   33.0135                       -115.5591667                  4.387                         4.89                          82.0                          
35                            ci15200401                    2012-08-26T20:57:58.220000Z   33.0185                       -115.5403333                  8.283                         5.41                          84.0                          
36                            ci15201537                    2012-08-26T23:33:25.130000Z   33.028                        -115.5305                     7.47                          4.63                          85.0                          
37                            ci15202921                    2012-08-27T04:41:37.000000Z   33.0211667                    -115.5195                     4.17                          4.93                          86.0                          
38                            ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           68.0                          
39                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          60.0                          
