no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
9              ci38443183     35.7053333     -117.5038333   10.5           6.4            40             2              2              0              
10             ci38443607     35.6013333     -117.597       2.81           4.59           52             2              3              1              
11             ci38443719     35.716         -117.56        1.92           4.58           38             6              6              1              
12             ci38443871     35.6715        -117.4788333   5.16           4.5            43             3              3              1              
13             ci38450263     35.7603333     -117.575       6.95           5.37           35             2              2              0              
14             ci38457487     35.7253333     -117.5535      0.88           4.97           37             2              3              1              
15             ci38457511     35.7695        -117.5993333   8.0            7.1            35             1              5              1              
16             ci37222196     35.9496667     -117.7376667   9.28           4.81           27             3              5              1              
17             ci38457519     35.9216667     -117.729       8.17           4.64           27             3              3              0              
18             ci37219484     35.748         -117.5456667   3.9            4.55           35             4              4              0              
19             ci37219500     35.6166667     -117.4301667   9.35           4.73           50             4              4              0              
20             ci37219156     35.891         -117.7365      9.1            4.64           30             4              4              0              
21             ci37219468     35.861         -117.6778333   6.82           4.52           29             4              4              0              
22             ci37219164     35.8031667     -117.6178333   11.44          4.84           33             2              2              0              
23             ci37219172     35.8606667     -117.6708333   10.32          4.61           29             4              4              0              
24             ci37219180     35.9138333     -117.7258333   8.0            4.5            28             4              4              0              
25             ci37219564     35.5303333     -117.4313333   3.83           4.57           59             4              5              1              
27             ci38457687     35.9011667     -117.7495      5.04           5.5            29             4              4              0              
28             ci38457703     35.9035        -117.7001667   8.26           4.97           27             4              4              0              
29             ci38457775     35.5551667     -117.5215      5.5            4.68           56             5              5              0              
30             ci38457815     35.5846667     -117.6145      9.73           4.8            55             5              5              1              
31             ci38457847     35.9101667     -117.6848333   7.41           5.44           25             3              3              0              
32             ci38457967     35.9           -117.7376667   1.9            4.85           28             2              2              0              
33             ci38458679     35.911         -117.7385      4.99           4.63           28             5              6              0              
34             ci38460311     35.639         -117.4913333   3.14           4.56           46             3              3              1              
35             ci38460967     35.898         -117.7271667   3.95           4.89           28             3              7              2              
36             ci38463551     35.9283333     -117.705       2.37           4.5            24             2              4              1              
37             ci38469375     35.8235        -117.663       6.51           4.5            31             1              1              0              
38             ci38472279     35.7683333     -117.5781667   10.45          4.53           35             5              5              1              
39             ci38525207     36.1766667     -117.884       0.93           4.52           38             2              2              0              
40             ci38548295     35.6368333     -117.5861667   9.48           4.9            49             3              6              2              
41             ci38593535     36.113         -117.8875      1.56           4.64           36             2              2              0              
42             ci38644943     35.9258333     -117.7066667   3.79           4.74           24             2              5              1              
43             ci38996632     35.9076667     -117.709       4.93           4.89           26             5              5              0              
44             ci39462536     35.6148333     -117.4281667   8.44           5.51           50             3              6              2              
48             ci39584648     36.4786667     -117.5141667   -0.57          4.72           47             5              5              0              
