no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
3              ci13935988     34.312         -116.8448333   5.589          4.99           85             16             16             2              
4              ci13936812     34.3096667     -116.8503333   1.409          4.5            85             6              19             6              
5              ci13938812     34.3155        -116.8445      1.099          4.61           86             6              14             3              
6              ci13945908     34.3591667     -116.1331667   3.069          4.64           88             5              5              1              
7              ci14151344     33.5325        -116.5666667   13.051         5.2            18             4              4              0              
8              ci14155260     34.058         -117.0113333   10.558         4.88           72             21             21             3              
9              ci14178184     33.1663333     -115.6351667   4.003          4.63           91             11             11             4              
10             ci14178248     33.1896667     -115.603       4.267          4.57           92             2              4              1              
11             ci12217067     33.1748333     -115.6311667   4.977          4.5            91             2              4              1              
12             ci14179736     33.1533333     -115.6463333   1.207          5.08           91             2              8              2              
13             ci10275733     33.7321667     -117.477       12.192         4.73           96             15             15             3              
14             ci14433456     33.3171667     -115.7281667   6.003          4.77           75             17             17             1              
15             ci10736069     33.4173333     -116.4746667   12.318         5.42           25             7              7              0              
16             ci10832573     32.8645        -115.9973333   13.146         4.57           94             6              9              2              
17             ci15199593     33.0158333     -115.5363333   4.79           4.59           108            3              12             3              
18             ci15199681     33.0171667     -115.5536667   8.323          5.32           107            4              4              1              
19             ci15199689     33.0135        -115.5591667   4.387          4.89           107            2              2              0              
20             ci15200401     33.0185        -115.5403333   8.283          5.41           108            4              4              1              
21             ci15201537     33.028         -115.5305      7.47           4.63           108            3              3              1              
22             ci15202921     33.0211667     -115.5195      4.17           4.93           109            2              4              1              
23             ci15296281     33.5008333     -116.4581667   10.943         4.7            16             17             17             0              
24             ci15520985     34.2823333     -117.0266667   7.25           4.58           91             14             17             5              
25             ci37374687     33.4315        -116.4426667   12.31          5.19           23             13             13             0              
27             ci38488354     33.0183333     -116.0201667   10.16          4.54           78             16             16             0              
28             ci39338407     33.2468333     -115.69        2.07           4.59           82             8              14             3              
29             ci39641528     33.0546667     -115.5906667   14.19          4.93           103            1              3              1              
30             ci39919392     33.14          -115.6348333   5.78           5.25           93             6              6              2              
31             ci39720706     32.7518333     -115.8728333   8.69           4.8            110            4              5              1              
