no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
11                            ci15481673                    2014-03-29T04:09:42.170000Z   33.9325                       -117.9158333                  5.09                          5.1                           123.0                         
12                            ci15520985                    2014-07-05T16:59:34.090000Z   34.2823333                    -117.0266667                  7.25                          4.58                          63.0                          
13                            ci38443183                    2019-07-04T17:33:49.000000Z   35.7053333                    -117.5038333                  10.5                          6.4                           101.0                         
16                            ci38443871                    2019-07-04T19:21:32.090000Z   35.6715                       -117.4788333                  5.16                          4.5                           97.0                          
17                            ci38457487                    2019-07-06T03:16:32.480000Z   35.7253333                    -117.5535                     0.88                          4.97                          105.0                         
18                            ci37219500                    2019-07-06T03:22:35.630000Z   35.6166667                    -117.4301667                  9.35                          4.73                          90.0                          
19                            ci37219564                    2019-07-06T03:27:11.370000Z   35.5303333                    -117.4313333                  3.83                          4.57                          81.0                          
20                            ci38457775                    2019-07-06T04:07:04.570000Z   35.5551667                    -117.5215                     5.5                           4.68                          86.0                          
21                            ci38457815                    2019-07-06T04:13:07.080000Z   35.5846667                    -117.6145                     9.73                          4.8                           93.0                          
23                            ci38548295                    2019-07-12T13:11:37.990000Z   35.6368333                    -117.5861667                  9.48                          4.9                           97.0                          
24                            ci39281440                    2020-01-25T03:03:34.920000Z   35.0975                       -116.9696667                  3.07                          4.62                          33.0                          
25                            ci39462536                    2020-06-04T01:32:11.140000Z   35.6148333                    -117.4281667                  8.44                          5.51                          90.0                          
26                            ci38695658                    2020-09-19T06:38:46.930000Z   34.038                        -118.08                       16.87                         4.54                          123.0                         
