no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
8              ci15520985     34.2823333     -117.0266667   7.25           4.58           127            5              5              1              
9              ci38443183     35.7053333     -117.5038333   10.5           6.4            80             1              6              1              
10             ci38443607     35.6013333     -117.597       2.81           4.59           64             1              10             2              
11             ci38443719     35.716         -117.56        1.92           4.58           77             3              5              1              
12             ci38443871     35.6715        -117.4788333   5.16           4.5            77             5              6              1              
13             ci38450263     35.7603333     -117.575       6.95           5.37           81             3              5              1              
14             ci38457487     35.7253333     -117.5535      0.88           4.97           78             3              6              2              
15             ci38457511     35.7695        -117.5993333   8.0            7.1            81             5              5              1              
16             ci37222196     35.9496667     -117.7376667   9.28           4.81           95             2              5              1              
17             ci38457519     35.9216667     -117.729       8.17           4.64           93             1              7              1              
18             ci37219484     35.748         -117.5456667   3.9            4.55           81             5              7              1              
19             ci37219500     35.6166667     -117.4301667   9.35           4.73           76             5              7              1              
20             ci37219156     35.891         -117.7365      9.1            4.64           89             5              7              1              
21             ci37219468     35.861         -117.6778333   6.82           4.52           87             3              5              1              
22             ci37219164     35.8031667     -117.6178333   11.44          4.84           84             3              4              1              
23             ci37219172     35.8606667     -117.6708333   10.32          4.61           89             1              5              1              
24             ci37219180     35.9138333     -117.7258333   8.0            4.5            92             1              5              1              
25             ci37219564     35.5303333     -117.4313333   3.83           4.57           68             1              5              1              
26             ci38457583     35.9028333     -117.7115      3.18           4.51           91             5              10             2              
27             ci38457687     35.9011667     -117.7495      5.04           5.5            90             2              4              1              
29             ci38457775     35.5551667     -117.5215      5.5            4.68           64             3              5              1              
30             ci38457815     35.5846667     -117.6145      9.73           4.8            63             3              7              1              
31             ci38457847     35.9101667     -117.6848333   7.41           5.44           92             1              4              1              
33             ci38458679     35.911         -117.7385      4.99           4.63           91             3              5              1              
35             ci38460967     35.898         -117.7271667   3.95           4.89           90             2              4              1              
39             ci38548295     35.6368333     -117.5861667   9.48           4.9            69             5              5              1              
40             ci38644943     35.9258333     -117.7066667   3.79           4.74           94             1              59             11             
41             ci38996632     35.9076667     -117.709       4.93           4.89           92             3              5              1              
42             ci39281440     35.0975        -116.9696667   3.07           4.62           92             4              6              2              
43             ci39462536     35.6148333     -117.4281667   8.44           5.51           75             4              5              1              
