no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
16             nn00725284     38.1596        -117.9598      3.8            4.9            92             2              10             2              
17             nn00725306     38.1469        -117.9831      5.8            4.8            90             3              10             2              
19             nn00727244     38.15          -117.9553      9.6            4.5            92             10             12             2              
20             nn00755218     38.1539        -117.9583      8.3            5.0            92             3              10             3              
21             nn00757297     38.1856        -117.8907      5.6            4.5            98             2              75             15             
22             nn00787105     38.1637        -118.0837      5.0            5.1            81             6              75             20             
23             nn00788443     38.175         -118.0654      5.0            4.9            82             3              75             19             
24             nn00791435     38.1497        -118.1008      6.4            4.9            79             2              6              1              
25             nn00792158     38.1554        -118.1231      5.2            4.7            77             2              17             4              
26             nc73584926     38.5075        -119.4998333   7.45           6.0            56             5              6              2              
27             nc71123379     38.5126667     -119.5021667   7.4            5.03           56             2              3              1              
28             nc73585021     38.4796667     -119.5448333   1.58           4.63           57             5              5              1              
29             nc73585291     38.5086667     -119.5343333   3.71           4.55           58             9              9              2              
30             nc73674211     37.3338333     -117.9023333   9.5            4.75           136            3              76             17             
