no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
16                            nn00725284                    2020-05-15T11:18:12.392000Z   38.1596                       -117.9598                     3.8                           4.9                           92.0                          
17                            nn00725306                    2020-05-15T11:52:07.184000Z   38.1469                       -117.9831                     5.8                           4.8                           90.0                          
18                            nn00726009                    2020-05-16T04:12:21.434000Z   38.1313                       -117.9756                     5                             4.6                           91.0                          
19                            nn00727244                    2020-05-17T11:53:53.336000Z   38.15                         -117.9553                     9.6                           4.5                           92.0                          
20                            nn00755218                    2020-06-30T09:24:23.549000Z   38.1539                       -117.9583                     8.3                           5                             92.0                          
21                            nn00757297                    2020-07-06T06:12:54.847000Z   38.1856                       -117.8907                     5.6                           4.5                           98.0                          
22                            nn00787105                    2020-12-01T23:32:56.573000Z   38.1637                       -118.0837                     5                             5.1                           81.0                          
23                            nn00788443                    2020-12-03T05:15:29.993000Z   38.175                        -118.0654                     5                             4.9                           82.0                          
24                            nn00791435                    2020-12-12T07:50:52.930000Z   38.1497                       -118.1008                     6.4                           4.9                           79.0                          
25                            nn00792158                    2020-12-14T21:20:10.831000Z   38.1554                       -118.1231                     5.2                           4.7                           77.0                          
26                            nc73584926                    2021-07-08T22:49:48.110000Z   38.5075                       -119.4998333                  7.45                          6                             55.0                          
27                            nc71123379                    2021-07-08T22:50:14.370000Z   38.5126667                    -119.5021667                  7.4                           5.03                          56.0                          
28                            nc73585021                    2021-07-08T23:33:40.900000Z   38.4796667                    -119.5448333                  1.58                          4.63                          57.0                          
29                            nc73585291                    2021-07-09T01:46:00.400000Z   38.5086667                    -119.5343333                  3.71                          4.55                          58.0                          
30                            nc73674211                    2022-01-06T00:28:07.010000Z   37.3338333                    -117.9023333                  9.5                           4.75                          136.0                         
