no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci9818433      33.9123333     -117.7833333   9.371          4.78           92             9              11             2              
3              ci13935988     34.312         -116.8448333   5.589          4.99           76             9              9              1              
4              ci13936812     34.3096667     -116.8503333   1.409          4.5            75             8              8              3              
5              ci13938812     34.3155        -116.8445      1.099          4.61           76             8              8              1              
6              ci13945908     34.3591667     -116.1331667   3.069          4.64           104            5              5              0              
7              ci14151344     33.5325        -116.5666667   13.051         5.2            31             6              6              0              
8              ci14155260     34.058         -117.0113333   10.558         4.88           51             9              9              1              
9              ci10275733     33.7321667     -117.477       12.192         4.73           60             10             10             1              
10             ci14383980     33.9485        -117.7663333   15.503         5.44           93             10             10             1              
11             ci10736069     33.4173333     -116.4746667   12.318         5.42           44             9              9              3              
12             ci10832573     32.8645        -115.9973333   13.146         4.57           117            8              10             2              
13             ci15296281     33.5008333     -116.4581667   10.943         4.7            41             9              9              3              
14             ci15481673     33.9325        -117.9158333   5.09           5.1            104            9              9              1              
15             ci15520985     34.2823333     -117.0266667   7.25           4.58           74             8              9              3              
16             ci37374687     33.4315        -116.4426667   12.31          5.19           46             9              9              1              
18             ci38488354     33.0183333     -116.0201667   10.16          4.54           103            9              10             1              
19             ci39720706     32.7518333     -115.8728333   8.69           4.8            133            2              8              2              
