no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
11             ci38443183     35.7053333     -117.5038333   10.5           6.4            104            1              2              1              
12             ci38443607     35.6013333     -117.597       2.81           4.59           97             2              4              1              
13             ci38443719     35.716         -117.56        1.92           4.58           106            3              4              1              
14             ci38443871     35.6715        -117.4788333   5.16           4.5            99             1              4              1              
15             ci38450263     35.7603333     -117.575       6.95           5.37           111            1              4              1              
16             ci38457487     35.7253333     -117.5535      0.88           4.97           107            1              3              1              
17             ci38457511     35.7695        -117.5993333   8.0            7.1            113            2              2              1              
18             ci37219484     35.748         -117.5456667   3.9            4.55           109            2              3              1              
19             ci37219500     35.6166667     -117.4301667   9.35           4.73           91             2              3              1              
21             ci38457775     35.5551667     -117.5215      5.5            4.68           89             1              8              3              
22             ci38457815     35.5846667     -117.6145      9.73           4.8            97             3              6              2              
23             ci38460311     35.639         -117.4913333   3.14           4.56           96             2              2              0              
24             ci38472279     35.7683333     -117.5781667   10.45          4.53           112            2              4              1              
25             ci38548295     35.6368333     -117.5861667   9.48           4.9            100            1              4              1              
26             ci39281440     35.0975        -116.9696667   3.07           4.62           25             2              2              0              
27             ci39462536     35.6148333     -117.4281667   8.44           5.51           91             1              6              1              
28             ci40063391     35.7091667     -117.5843333   6.3            4.58           107            1              2              0              
