no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci9818433      33.9123333     -117.7833333   9.371          4.78           77             7              11             2              
3              ci13935988     34.312         -116.8448333   5.589          4.99           99             6              14             4              
4              ci13936812     34.3096667     -116.8503333   1.409          4.5            99             3              4              0              
5              ci13938812     34.3155        -116.8445      1.099          4.61           100            5              12             3              
6              ci14151344     33.5325        -116.5666667   13.051         5.2            58             7              7              1              
7              ci14155260     34.058         -117.0113333   10.558         4.88           69             13             13             3              
8              ci10275733     33.7321667     -117.477       12.192         4.73           44             5              5              1              
9              ci14383980     33.9485        -117.7663333   15.503         5.44           80             4              10             3              
10             ci10736069     33.4173333     -116.4746667   12.318         5.42           66             10             10             2              
11             ci15296281     33.5008333     -116.4581667   10.943         4.7            67             8              12             2              
12             ci15481673     33.9325        -117.9158333   5.09           5.1            87             6              6              2              
13             ci15520985     34.2823333     -117.0266667   7.25           4.58           92             8              9              2              
14             ci37374687     33.4315        -116.4426667   12.31          5.19           69             9              10             2              
15             ci39126079     33.4895        -116.5063333   10.45          4.87           63             6              13             4              
16             ci38695658     34.038         -118.08        16.87          4.54           107            4              8              2              
