no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
48                            ci15199593                    2012-08-26T19:20:04.810000Z   33.0158333                    -115.5363333                  4.79                          4.59                          56.0                          
49                            ci15199681                    2012-08-26T19:31:23.040000Z   33.0171667                    -115.5536667                  8.323                         5.32                          55.0                          
50                            ci15199689                    2012-08-26T19:33:01.090000Z   33.0135                       -115.5591667                  4.387                         4.89                          54.0                          
51                            ci15200401                    2012-08-26T20:57:58.220000Z   33.0185                       -115.5403333                  8.283                         5.41                          56.0                          
52                            ci15201537                    2012-08-26T23:33:25.130000Z   33.028                        -115.5305                     7.47                          4.63                          56.0                          
53                            ci15202921                    2012-08-27T04:41:37.000000Z   33.0211667                    -115.5195                     4.17                          4.93                          58.0                          
54                            ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           51.0                          
55                            ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          44.0                          
57                            ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          17.0                          
58                            ci39338407                    2020-08-10T15:56:14.330000Z   33.2468333                    -115.69                       2.07                          4.59                          42.0                          
59                            ci39641528                    2020-10-01T00:31:27.280000Z   33.0546667                    -115.5906667                  14.19                         4.93                          50.0                          
60                            ci39596135                    2021-03-31T08:56:25.940000Z   32.3903333                    -115.2498333                  19.22                         4.75                          117.0                         
61                            ci39919392                    2021-06-05T17:55:58.820000Z   33.14                         -115.6348333                  5.78                          5.25                          45.0                          
62                            ci39720706                    2023-12-01T07:43:27.480000Z   32.7518333                    -115.8728333                  8.69                          4.8                           49.0                          
