no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
33             ci15199593     33.0158333     -115.5363333   4.79           4.59           111            2              4              1              
34             ci15199681     33.0171667     -115.5536667   8.323          5.32           110            4              6              1              
35             ci15199689     33.0135        -115.5591667   4.387          4.89           109            1              3              1              
36             ci15200401     33.0185        -115.5403333   8.283          5.41           111            1              5              1              
37             ci15201537     33.028         -115.5305      7.47           4.63           111            1              4              1              
38             ci15202921     33.0211667     -115.5195      4.17           4.93           112            1              4              1              
39             ci15296281     33.5008333     -116.4581667   10.943         4.7            16             4              9              3              
40             ci15520985     34.2823333     -117.0266667   7.25           4.58           96             2              5              1              
41             ci37374687     33.4315        -116.4426667   12.31          5.19           19             4              9              3              
42             ci39126079     33.4895        -116.5063333   10.45          4.87           13             7              8              3              
43             ci38488354     33.0183333     -116.0201667   10.16          4.54           76             3              9              2              
44             ci39338407     33.2468333     -115.69        2.07           4.59           88             1              5              1              
45             ci39641528     33.0546667     -115.5906667   14.19          4.93           106            1              3              1              
46             ci39919392     33.14          -115.6348333   5.78           5.25           97             1              4              1              
47             ci39720706     32.7518333     -115.8728333   8.69           4.8            106            2              8              2              
