no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
56             ci11066877     32.1991667     -115.2085      9.963          4.87           124            2              7              1              
57             ci11129826     32.2071667     -115.3431667   2.821          4.64           115            3              7              2              
58             ci11129914     32.2131667     -115.2886667   9.641          4.68           117            2              7              1              
59             ci15199593     33.0158333     -115.5363333   4.79           4.59           51             2              9              2              
60             ci15199681     33.0171667     -115.5536667   8.323          5.32           51             2              6              1              
61             ci15199689     33.0135        -115.5591667   4.387          4.89           49             1              7              1              
62             ci15200401     33.0185        -115.5403333   8.283          5.41           52             3              5              1              
63             ci15201537     33.028         -115.5305      7.47           4.63           53             1              7              1              
64             ci15202921     33.0211667     -115.5195      4.17           4.93           53             2              4              1              
65             ci15296281     33.5008333     -116.4581667   10.943         4.7            64             3              8              1              
67             ci38138175     32.2065        -115.2535      10.95          4.82           120            1              5              1              
69             ci38488354     33.0183333     -116.0201667   10.16          4.54           12             4              5              1              
70             ci39338407     33.2468333     -115.69        2.07           4.59           44             3              6              1              
71             ci39641528     33.0546667     -115.5906667   14.19          4.93           48             2              8              2              
72             ci39596135     32.3903333     -115.2498333   19.22          4.75           108            2              6              1              
73             ci39919392     33.14          -115.6348333   5.78           5.25           44             5              6              1              
