no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
19                            ci14404512                    2008-11-20T19:23:00.190000Z   32.3288333                    -115.3318333                  6.006                         4.98                          87.0                          
20                            ci10368325                    2008-12-28T05:17:07.470000Z   32.5681667                    -115.5428333                  10.01                         4.52                          59.0                          
21                            ci14433456                    2009-03-24T11:55:43.930000Z   33.3171667                    -115.7281667                  6.003                         4.77                          31.0                          
22                            ci14512436                    2009-09-19T22:55:17.840000Z   32.3706667                    -115.2611667                  9.987                         5.08                          84.0                          
23                            ci14565620                    2009-12-30T18:48:57.330000Z   32.464                        -115.1891667                  5.971                         5.8                           77.0                          
24                            ci14565636                    2009-12-30T18:53:23.960000Z   32.5323333                    -115.2081667                  5.986                         4.77                          70.0                          
25                            ci14607652                    2010-04-04T22:40:42.360000Z   32.2861667                    -115.2953333                  9.987                         7.2                           93.0                          
26                            ci10184394                    2010-04-04T22:43:00.430000Z   32.4533333                    -115.632                      9.981                         5.26                          72.0                          
27                            ci14607820                    2010-04-04T23:09:40.110000Z   32.204                        -115.3328333                  9.979                         4.79                          101.0                         
28                            ci14607836                    2010-04-04T23:15:14.240000Z   32.3                          -115.2595                     9.987                         5.43                          92.0                          
29                            ci10169094                    2010-04-04T23:17:13.080000Z   32.2211667                    -115.2906667                  9.995                         4.56                          100.0                         
30                            ci14607924                    2010-04-04T23:25:07.190000Z   32.2661667                    -115.2925                     9.987                         5.38                          95.0                          
31                            ci14607972                    2010-04-04T23:37:33.490000Z   32.4623333                    -115.5978333                  9.966                         4.7                           71.0                          
32                            ci14608980                    2010-04-05T01:52:25.420000Z   32.5933333                    -115.7733333                  4.085                         4.68                          60.0                          
33                            ci30389759                    2010-04-05T02:47:27.410000Z   32.2851667                    -115.3025                     10.003                        4.51                          93.0                          
34                            ci14609660                    2010-04-05T03:15:24.770000Z   32.6465                       -115.8055                     1.243                         4.96                          56.0                          
35                            ci14612516                    2010-04-05T11:14:14.890000Z   32.6638333                    -115.8088333                  13.653                        4.93                          55.0                          
36                            ci14613212                    2010-04-05T13:33:05.360000Z   32.6401667                    -115.8018333                  0.002                         4.73                          57.0                          
37                            ci14616380                    2010-04-06T01:23:00.820000Z   32.2151667                    -115.0715                     9.994                         4.51                          107.0                         
38                            ci14617100                    2010-04-06T04:12:21.260000Z   32.5936667                    -115.7738333                  3.983                         4.56                          60.0                          
39                            ci14618772                    2010-04-06T10:06:37.750000Z   32.6651667                    -115.8106667                  1.733                         4.51                          55.0                          
