no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
19             ci14404512     32.3288333     -115.3318333   6.006          4.98           87             2              7              1              
20             ci10368325     32.5681667     -115.5428333   10.01          4.52           60             2              4              1              
21             ci14433456     33.3171667     -115.7281667   6.003          4.77           32             3              4              1              
22             ci14512436     32.3706667     -115.2611667   9.987          5.08           85             1              6              1              
23             ci14565620     32.464         -115.1891667   5.971          5.8            77             3              4              1              
24             ci14565636     32.5323333     -115.2081667   5.986          4.77           70             4              6              1              
25             ci14607652     32.2861667     -115.2953333   9.987          7.2            94             1              4              1              
27             ci14607820     32.204         -115.3328333   9.979          4.79           101            2              4              1              
28             ci14607836     32.3           -115.2595      9.987          5.43           93             2              4              1              
30             ci14607924     32.2661667     -115.2925      9.987          5.38           96             2              3              1              
31             ci14607972     32.4623333     -115.5978333   9.966          4.7            72             3              13             2              
32             ci14608980     32.5933333     -115.7733333   4.085          4.68           60             4              6              1              
33             ci30389759     32.2851667     -115.3025      10.003         4.51           94             1              5              1              
34             ci14609660     32.6465        -115.8055      1.243          4.96           56             3              5              1              
35             ci14612516     32.6638333     -115.8088333   13.653         4.93           57             3              5              1              
36             ci14613212     32.6401667     -115.8018333   0.002          4.73           57             4              7              2              
37             ci14616380     32.2151667     -115.0715      9.994          4.51           107            1              8              1              
38             ci14617100     32.5936667     -115.7738333   3.983          4.56           60             4              6              1              
39             ci14618772     32.6651667     -115.8106667   1.733          4.51           55             4              4              1              
40             ci10597061     32.6753333     -115.7581667   9.715          4.5            52             2              4              1              
41             ci10629477     32.6595        -115.8075      5.315          4.63           55             2              5              1              
42             ci14682004     32.6921667     -115.8465      3.278          4.58           54             2              6              1              
43             ci14692836     32.2636667     -115.2866667   14.059         4.68           96             4              5              1              
44             ci10657533     32.6815        -115.7971667   5.955          4.8            52             4              8              1              
45             ci10657549     32.6755        -115.8101667   2.383          4.69           54             3              4              1              
46             ci10671989     32.6601667     -115.8253333   8.913          4.53           57             2              6              1              
47             ci14718756     32.6168333     -115.7563333   8.073          4.9            58             4              6              1              
48             ci14718764     32.6243333     -115.7683333   7.493          4.6            57             4              7              2              
49             ci14745580     32.705         -115.9113333   8.756          5.71           57             1              9              2              
50             ci10736069     33.4173333     -116.4746667   12.318         5.42           96             1              4              1              
51             ci10832573     32.8645        -115.9973333   13.146         4.57           53             3              13             3              
52             ci11129826     32.2071667     -115.3431667   2.821          4.64           100            3              6              1              
53             ci11129914     32.2131667     -115.2886667   9.641          4.68           101            1              6              1              
54             ci15199593     33.0158333     -115.5363333   4.79           4.59           10             7              7              2              
55             ci15199681     33.0171667     -115.5536667   8.323          5.32           12             4              7              1              
56             ci15199689     33.0135        -115.5591667   4.387          4.89           11             3              6              1              
57             ci15200401     33.0185        -115.5403333   8.283          5.41           12             3              7              2              
58             ci15201537     33.028         -115.5305      7.47           4.63           11             6              6              1              
59             ci15202921     33.0211667     -115.5195      4.17           4.93           10             4              4              0              
60             ci15296281     33.5008333     -116.4581667   10.943         4.7            98             4              6              1              
61             ci37374687     33.4315        -116.4426667   12.31          5.19           94             3              5              1              
62             ci38138175     32.2065        -115.2535      10.95          4.82           103            2              4              1              
63             ci39126079     33.4895        -116.5063333   10.45          4.87           102            3              4              1              
64             ci38488354     33.0183333     -116.0201667   10.16          4.54           48             1              8              1              
65             ci39338407     33.2468333     -115.69        2.07           4.59           22             3              4              1              
66             ci39641528     33.0546667     -115.5906667   14.19          4.93           16             2              4              1              
67             ci39596135     32.3903333     -115.2498333   19.22          4.75           85             4              5              1              
68             ci39919392     33.14          -115.6348333   5.78           5.25           12             2              7              2              
69             ci39720706     32.7518333     -115.8728333   8.69           4.8            51             5              7              1              
