no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
2              ci13935988     34.312         -116.8448333   5.589          4.99           83             4              4              1              
3              ci13936812     34.3096667     -116.8503333   1.409          4.5            83             2              6              1              
4              ci13938812     34.3155        -116.8445      1.099          4.61           84             3              3              1              
5              ci13945908     34.3591667     -116.1331667   3.069          4.64           100            2              3              1              
6              ci14151344     33.5325        -116.5666667   13.051         5.2            17             6              6              0              
7              ci14155260     34.058         -117.0113333   10.558         4.88           63             8              8              2              
8              ci14178184     33.1663333     -115.6351667   4.003          4.63           107            2              4              1              
9              ci14178248     33.1896667     -115.603       4.267          4.57           108            2              4              1              
10             ci12217067     33.1748333     -115.6311667   4.977          4.5            107            2              4              1              
11             ci14179736     33.1533333     -115.6463333   1.207          5.08           106            2              4              1              
12             ci10215753     32.676         -116.0481667   13.436         4.62           116            3              4              1              
13             ci10275733     33.7321667     -117.477       12.192         4.73           77             2              7              2              
14             ci14433456     33.3171667     -115.7281667   6.003          4.77           92             5              5              1              
15             ci10597061     32.6753333     -115.7581667   9.715          4.5            131            3              5              1              
16             ci14682004     32.6921667     -115.8465      3.278          4.58           125            7              8              2              
17             ci10657533     32.6815        -115.7971667   5.955          4.8            128            3              4              1              
18             ci10657549     32.6755        -115.8101667   2.383          4.69           128            3              3              0              
19             ci14745580     32.705         -115.9113333   8.756          5.71           120            7              7              1              
20             ci10736069     33.4173333     -116.4746667   12.318         5.42           28             2              4              1              
21             ci10832573     32.8645        -115.9973333   13.146         4.57           102            7              8              2              
22             ci15296281     33.5008333     -116.4581667   10.943         4.7            25             10             10             0              
23             ci15520985     34.2823333     -117.0266667   7.25           4.58           85             3              7              2              
24             ci37374687     33.4315        -116.4426667   12.31          5.19           30             2              4              1              
