no             name           lat            lon            depth          mag            dist           traces         fq             mxFq           err            
0              ci38443191     35.644         -117.5671667   4.64           4.49           22             0              6              21             2              
1              ci38443607     35.6013333     -117.597       2.81           4.59           16             0              5              17             1              
2              ci38443703     35.5975        -117.5996667   5.33           4.07           16             0              9              20             3              
3              ci38445703     35.6011667     -117.6106667   4.75           4.04           16             0              3              23             1              
4              ci37260300     35.5423333     -117.5053333   5.6            4.15           18             0              8              11             3              
5              ci37219476     35.5685        -117.5165      10.82          4.22           21             0              6              23             3              
6              ci37219700     35.624         -117.4861667   10.99          4.08           26             0              5              18             2              
7              ci38457607     35.6521667     -117.4668333   1.97           4.09           27             0              6              9              2              
8              ci38457775     35.5551667     -117.5215      5.5            4.68           18             0              7              13             3              
9              ci38457815     35.5846667     -117.6145      9.73           4.8            16             0              6              18             1              
10             ci38460311     35.639         -117.4913333   3.14           4.56           25             0              3              12             1              
11             ci38465703     35.5705        -117.523       10.05          4.14           21             0              7              22             4              
