no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
0                             ci38443191                    2019-07-04T17:35:01.660000Z   35.644                        -117.5671667                  4.64                          4.49                          21.0                          
1                             ci38443607                    2019-07-04T18:39:44.440000Z   35.6013333                    -117.597                      2.81                          4.59                          16.0                          
2                             ci38443703                    2019-07-04T18:54:13.990000Z   35.5975                       -117.5996667                  5.33                          4.07                          15.0                          
3                             ci38445703                    2019-07-04T23:34:02.380000Z   35.6011667                    -117.6106667                  4.75                          4.04                          15.0                          
4                             ci37260300                    2019-07-06T03:21:19.190000Z   35.5423333                    -117.5053333                  5.6                           4.15                          17.0                          
5                             ci37219476                    2019-07-06T03:23:34.710000Z   35.5685                       -117.5165                     10.82                         4.22                          18.0                          
6                             ci37219700                    2019-07-06T03:33:20.200000Z   35.624                        -117.4861667                  10.99                         4.08                          24.0                          
7                             ci38457607                    2019-07-06T03:35:05.420000Z   35.6521667                    -117.4668333                  1.97                          4.09                          27.0                          
8                             ci38457775                    2019-07-06T04:07:04.570000Z   35.5551667                    -117.5215                     5.5                           4.68                          17.0                          
9                             ci38457815                    2019-07-06T04:13:07.080000Z   35.5846667                    -117.6145                     9.73                          4.8                           13.0                          
10                            ci38460311                    2019-07-06T08:32:57.550000Z   35.639                        -117.4913333                  3.14                          4.56                          25.0                          
11                            ci38465703                    2019-07-06T16:36:05.820000Z   35.5705                       -117.523                      10.05                         4.14                          18.0                          
