no             name           lat            lon            depth          mag            dist           traces         fq             mxFq           err            
0              ci38443183     35.7053333     -117.5038333   10.5           6.4            21             0              1              3              0              
1              ci38443191     35.644         -117.5671667   4.64           4.49           11             0              3              10             1              
2              ci37218988     35.687         -117.5061667   1.6            4.28           17             0              1              5              0              
3              ci37218996     35.6758333     -117.4575      15.82          4.01           26             0              4              6              1              
4              ci38443231     35.707         -117.5101667   8.66           4.13           20             0              5              22             2              
5              ci38443535     35.745         -117.5521667   6.64           4.23           19             0              3              5              1              
6              ci38443607     35.6013333     -117.597       2.81           4.59           7              0              2              9              1              
7              ci38443647     35.6758333     -117.4853333   8.53           4.34           20             0              4              6              1              
8              ci37421213     35.6755        -117.472       10.27          4.02           22             0              2              15             1              
9              ci38443703     35.5975        -117.5996667   5.33           4.07           8              1              2              21             1              
10             ci38443719     35.716         -117.56        1.92           4.58           15             0              3              6              1              
11             ci37420717     35.7086667     -117.5541667   1.16           4.21           15             0              3              6              1              
12             ci38443871     35.6715        -117.4788333   5.16           4.5            19             0              3              12             1              
13             ci38444103     35.6623333     -117.524       1.49           4.16           14             0              2              7              1              
14             ci38445087     35.7463333     -117.5636667   5.76           4.43           19             0              3              6              0              
15             ci38445703     35.6011667     -117.6106667   4.75           4.04           7              0              2              15             1              
16             ci38445975     35.7718333     -117.6178333   2.59           4.04           19             0              3              5              1              
17             ci38446071     35.7033333     -117.4828333   1.0            4.02           20             0              1              3              1              
18             ci38450263     35.7603333     -117.575       6.95           5.37           20             0              1              9              1              
19             ci38451079     35.7716667     -117.5706667   6.82           4.09           21             0              3              9              1              
20             ci38457487     35.7253333     -117.5535      0.88           4.97           16             0              3              5              1              
21             ci37257780     35.7453333     -117.5608333   6.5            4.14           19             0              3              12             1              
22             ci38457511     35.7695        -117.5993333   8.0            7.1            21             0              1              6              0              
23             ci37260300     35.5423333     -117.5053333   5.6            4.15           17             0              1              6              0              
24             ci37219484     35.748         -117.5456667   3.9            4.55           19             0              2              6              0              
25             ci37219476     35.5685        -117.5165      10.82          4.22           18             0              3              5              1              
26             ci37219604     35.7325        -117.5088333   7.03           4.07           21             0              3              10             1              
27             ci37219700     35.624         -117.4861667   10.99          4.08           19             0              3              22             1              
28             ci37219708     35.726         -117.5613333   11.09          4.01           19             0              6              6              2              
29             ci38457607     35.6521667     -117.4668333   1.97           4.09           19             0              3              7              1              
30             ci38457679     35.6805        -117.4703333   6.85           4.26           20             0              1              6              0              
31             ci38457775     35.5551667     -117.5215      5.5            4.68           15             0              2              12             1              
32             ci38457815     35.5846667     -117.6145      9.73           4.8            11             0              4              12             2              
33             ci37221932     35.785         -117.6175      10.63          4.29           23             0              7              18             2              
34             ci38457871     35.7786667     -117.6121667   2.59           4.17           19             0              2              5              1              
35             ci38458143     35.7073333     -117.5706667   2.9            4.03           14             0              5              5              1              
36             ci38460311     35.639         -117.4913333   3.14           4.56           16             0              2              7              0              
37             ci38465703     35.5705        -117.523       10.05          4.14           17             0              3              15             1              
