no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
0                             ci38443183                    2019-07-04T17:33:49.000000Z   35.7053333                    -117.5038333                  10.5                          6.4                           18.0                          
1                             ci38443191                    2019-07-04T17:35:01.660000Z   35.644                        -117.5671667                  4.64                          4.49                          10.0                          
2                             ci37218988                    2019-07-04T17:35:52.170000Z   35.687                        -117.5061667                  1.6                           4.28                          17.0                          
3                             ci37218996                    2019-07-04T17:37:25.640000Z   35.6758333                    -117.4575                     15.82                         4.01                          20.0                          
4                             ci38443231                    2019-07-04T17:40:18.520000Z   35.707                        -117.5101667                  8.66                          4.13                          18.0                          
5                             ci38443535                    2019-07-04T18:27:59.440000Z   35.745                        -117.5521667                  6.64                          4.23                          18.0                          
6                             ci38443607                    2019-07-04T18:39:44.440000Z   35.6013333                    -117.597                      2.81                          4.59                          6.0                           
7                             ci38443647                    2019-07-04T18:47:06.590000Z   35.6758333                    -117.4853333                  8.53                          4.34                          18.0                          
8                             ci37421213                    2019-07-04T18:47:22.600000Z   35.6755                       -117.472                      10.27                         4.02                          19.0                          
9                             ci38443703                    2019-07-04T18:54:13.990000Z   35.5975                       -117.5996667                  5.33                          4.07                          6.0                           
10                            ci38443719                    2019-07-04T18:56:06.420000Z   35.716                        -117.56                       1.92                          4.58                          15.0                          
11                            ci37420717                    2019-07-04T18:56:22.030000Z   35.7086667                    -117.5541667                  1.16                          4.21                          15.0                          
12                            ci38443871                    2019-07-04T19:21:32.090000Z   35.6715                       -117.4788333                  5.16                          4.5                           18.0                          
13                            ci38444103                    2019-07-04T19:56:00.500000Z   35.6623333                    -117.524                      1.49                          4.16                          14.0                          
14                            ci38445087                    2019-07-04T22:12:08.490000Z   35.7463333                    -117.5636667                  5.76                          4.43                          18.0                          
15                            ci38445703                    2019-07-04T23:34:02.380000Z   35.6011667                    -117.6106667                  4.75                          4.04                          5.0                           
16                            ci38445975                    2019-07-05T00:18:01.410000Z   35.7718333                    -117.6178333                  2.59                          4.04                          19.0                          
17                            ci38446071                    2019-07-05T00:32:06.670000Z   35.7033333                    -117.4828333                  1                             4.02                          20.0                          
18                            ci38450263                    2019-07-05T11:07:53.040000Z   35.7603333                    -117.575                      6.95                          5.37                          19.0                          
19                            ci38451079                    2019-07-05T12:38:30.020000Z   35.7716667                    -117.5706667                  6.82                          4.09                          20.0                          
20                            ci38457487                    2019-07-06T03:16:32.480000Z   35.7253333                    -117.5535                     0.88                          4.97                          16.0                          
21                            ci37257780                    2019-07-06T03:17:13.500000Z   35.7453333                    -117.5608333                  6.5                           4.14                          18.0                          
22                            ci38457511                    2019-07-06T03:19:53.040000Z   35.7695                       -117.5993333                  8                             7.1                           19.0                          
23                            ci37260300                    2019-07-06T03:21:19.190000Z   35.5423333                    -117.5053333                  5.6                           4.15                          16.0                          
24                            ci37219484                    2019-07-06T03:22:17.100000Z   35.748                        -117.5456667                  3.9                           4.55                          19.0                          
25                            ci37219476                    2019-07-06T03:23:34.710000Z   35.5685                       -117.5165                     10.82                         4.22                          14.0                          
26                            ci37219604                    2019-07-06T03:29:28.840000Z   35.7325                       -117.5088333                  7.03                          4.07                          20.0                          
27                            ci37219700                    2019-07-06T03:33:20.200000Z   35.624                        -117.4861667                  10.99                         4.08                          16.0                          
28                            ci37219708                    2019-07-06T03:33:39.450000Z   35.726                        -117.5613333                  11.09                         4.01                          16.0                          
29                            ci38457607                    2019-07-06T03:35:05.420000Z   35.6521667                    -117.4668333                  1.97                          4.09                          19.0                          
30                            ci38457679                    2019-07-06T03:46:26.870000Z   35.6805                       -117.4703333                  6.85                          4.26                          19.0                          
31                            ci38457775                    2019-07-06T04:07:04.570000Z   35.5551667                    -117.5215                     5.5                           4.68                          14.0                          
32                            ci38457815                    2019-07-06T04:13:07.080000Z   35.5846667                    -117.6145                     9.73                          4.8                           5.0                           
33                            ci37221932                    2019-07-06T04:19:15.480000Z   35.785                        -117.6175                     10.63                         4.29                          20.0                          
34                            ci38457871                    2019-07-06T04:21:35.820000Z   35.7786667                    -117.6121667                  2.59                          4.17                          19.0                          
35                            ci38458143                    2019-07-06T04:58:36.690000Z   35.7073333                    -117.5706667                  2.9                           4.03                          14.0                          
36                            ci38460311                    2019-07-06T08:32:57.550000Z   35.639                        -117.4913333                  3.14                          4.56                          16.0                          
37                            ci38465703                    2019-07-06T16:36:05.820000Z   35.5705                       -117.523                      10.05                         4.14                          14.0                          
